ts_ms,swaps,volume_quote,arb_share,fee_income,arb_loss,lp_gain,arb_loss_bps,fee_bps
2025-05-31 00:00:00+00:00,4849,6485798.125503165,0.6846772530418643,3242.8990627515823,3416.849734201969,-173.95067145038644,5.268202414081292,5.0
2025-06-01 00:00:00+00:00,6041,8018633.707147106,0.6684323787452409,4009.316853573553,4351.2744616908,-341.95760811724693,5.426453708457161,5.000000000000001
2025-06-02 00:00:00+00:00,7871,13131044.251940835,0.640960487866853,6565.522125970418,6380.595003333199,184.92712263721887,4.859167999826148,5.0
2025-06-03 00:00:00+00:00,7100,11838984.89199341,0.6471830985915493,5919.492445996705,5944.974079245944,-25.481633249239092,5.021523495030787,5.0
2025-06-04 00:00:00+00:00,7251,11085339.213086374,0.6058474693145773,5542.669606543187,5306.346749322229,236.32285722095781,4.7868149520025725,5.0
2025-06-05 00:00:00+00:00,11600,19344972.782971416,0.5818965517241379,9672.486391485709,10194.34658025209,-521.8601887663807,5.269765274224502,5.000000000000001
2025-06-06 00:00:00+00:00,7885,11152657.755789937,0.627013316423589,5576.328877894969,5863.860731868874,-287.53185397390433,5.257814648552836,5.000000000000001
2025-06-07 00:00:00+00:00,4233,7178623.807651818,0.6853295535081503,3589.311903825909,4069.83061405524,-480.51871022933085,5.66937441368238,5.0
2025-06-08 00:00:00+00:00,3784,8223469.695455145,0.6569767441860465,4111.734847727572,4966.80868155692,-855.0738338293474,6.03979690507271,4.999999999999999
2025-06-09 00:00:00+00:00,7583,16053614.266098766,0.6151918765660029,8026.807133049383,8130.6920359965125,-103.88490294712922,5.064711224042868,5.000000000000001
2025-06-10 00:00:00+00:00,13080,22688487.698749326,0.6202599388379205,11344.243849374663,10868.169626047144,476.0742233275192,4.790169256916245,5.0
2025-06-11 00:00:00+00:00,11919,21729886.050678115,0.6345330984142965,10864.943025339056,11685.078130197211,-820.135104858153,5.37742264406976,4.999999999999999
2025-06-12 00:00:00+00:00,11711,21477651.440740783,0.6294082486551106,10738.825720370392,10657.827891111881,80.99782925851095,4.962287389996066,5.000000000000001
2025-06-13 00:00:00+00:00,16841,28555786.750037886,0.5974704589988719,14277.893375018943,15616.702849283625,-1338.8094742646813,5.468839988890486,5.0
2025-06-14 00:00:00+00:00,5443,9269375.738554524,0.7297446261252986,4634.6878692772625,5147.260273356499,-512.5724040792364,5.5529740281724385,5.000000000000001
2025-06-15 00:00:00+00:00,5753,8034315.549912859,0.6330610116460977,4017.1577749564294,4393.474579020535,-376.31680406410567,5.468386885884993,5.000000000000001
2025-06-16 00:00:00+00:00,10136,20722176.49991921,0.6009273875295975,10361.088249959605,11572.658669994807,-1211.5704200352025,5.584673342609511,5.0
2025-06-17 00:00:00+00:00,11557,17460056.565534137,0.6300943151336852,8730.02828276707,9249.754060303158,-519.7257775360888,5.2976655748996935,5.000000000000001
2025-06-18 00:00:00+00:00,9777,13687164.000733338,0.624220108417715,6843.582000366669,7450.081943539053,-606.4999431723844,5.44311585887324,4.999999999999999
2025-06-19 00:00:00+00:00,5142,6284100.491759781,0.5807078957604045,3142.0502458798906,3388.508866610703,-246.45862073081284,5.392193952108164,5.0
2025-06-20 00:00:00+00:00,8512,13430744.431890545,0.572015977443609,6715.372215945273,6685.954081856954,29.418134088318542,4.978096423293956,5.0
2025-06-21 00:00:00+00:00,9109,9705473.867729964,0.5354045449555385,4852.736933864982,6272.141543265703,-1419.4046094007203,6.462478420677783,5.000000000000001
2025-06-22 00:00:00+00:00,17006,16337422.390873572,0.5710925555686228,8168.711195436786,8695.16596086777,-526.4547654309839,5.322238571566266,5.0
2025-06-23 00:00:00+00:00,15031,20525864.034425005,0.5457388064666356,10262.932017212503,11221.142092608261,-958.2100753957591,5.466830567419083,5.0
2025-06-24 00:00:00+00:00,8862,10002010.151168935,0.6207402392236515,5001.005075584467,5693.264840479912,-692.2597648954444,5.692120638184456,4.999999999999999
2025-06-25 00:00:00+00:00,10775,14335456.210105324,0.4823201856148492,7167.728105052662,6814.754349115736,352.9737559369258,4.753775707753124,5.0
2025-06-26 00:00:00+00:00,9225,12517018.393282425,0.5411382113821138,6258.509196641212,6699.687956880711,-441.1787602394986,5.352463139685301,5.0
2025-06-27 00:00:00+00:00,6420,7093835.072205821,0.5601246105919003,3546.9175361029106,3768.7971156453386,-221.87957954242788,5.312778035130488,5.0
2025-06-28 00:00:00+00:00,2859,3719587.4386403626,0.4819867086393844,1859.7937193201813,1627.5288145608981,232.26490475928318,4.375562724117103,5.0
2025-06-29 00:00:00+00:00,4048,7022278.988158887,0.5318675889328063,3511.139494079444,4003.054872623193,-491.9153785437496,5.700506743427921,5.0
2025-06-30 00:00:00+00:00,8971,14570820.049457863,0.5886746182142459,7285.410024728932,7232.127817919189,53.282206809743094,4.963432252523272,5.0
2025-07-01 00:00:00+00:00,6915,9422613.306309704,0.6183658712942878,4711.306653154852,4806.113911860744,-94.80725870589175,5.100616735107241,5.0
2025-07-02 00:00:00+00:00,7817,14093438.996417794,0.653063835230907,7046.719498208899,6683.2967596977105,363.4227385111874,4.7421333866038236,5.000000000000001
2025-07-03 00:00:00+00:00,7416,13561026.430412803,0.6912081984897519,6780.513215206402,7565.749891563475,-785.2366763570732,5.57903926401622,5.0
2025-07-04 00:00:00+00:00,5592,8910378.56535468,0.6716738197424893,4455.18928267734,4818.544848747093,-363.3555660697534,5.407789145438278,4.999999999999999
2025-07-05 00:00:00+00:00,2970,4444735.255218678,0.6444444444444445,2222.3676276093393,2210.8579551852604,11.509672424079094,4.974104931422935,5.000000000000001
2025-07-06 00:00:00+00:00,4206,8902987.561639478,0.6790299572039943,4451.493780819739,5320.0786594705805,-868.5848786508409,5.97561057188638,5.0
2025-07-07 00:00:00+00:00,6145,12354489.198621556,0.6818551668022783,6177.244599310778,6818.560853318707,-641.3162540079289,5.519095726013087,4.999999999999999
2025-07-08 00:00:00+00:00,5448,10736275.209950136,0.6793318649045521,5368.137604975068,5696.824240124267,-328.6866351491987,5.30614587342599,5.0
2025-07-09 00:00:00+00:00,8057,15835016.684008777,0.6264118158123371,7917.508342004388,7336.652606774826,580.8557352295618,4.633182745038629,5.0
2025-07-10 00:00:00+00:00,10537,22312475.386224367,0.6351902818639081,11156.237693112183,11757.629363771934,-601.39167065975,5.26953157829859,5.0
2025-07-11 00:00:00+00:00,11921,19903399.153198216,0.683415820820401,9951.699576599109,10098.427610607181,-146.72803400807118,5.073720088151122,5.000000000000001
2025-07-12 00:00:00+00:00,5136,11753989.696143918,0.6865264797507789,5876.994848071959,6477.834456570308,-600.8396084983491,5.511179288080765,5.0
2025-07-13 00:00:00+00:00,5403,12406270.236929823,0.6518600777345919,6203.135118464911,6460.94027403855,-257.8051555736394,5.207802305326406,5.0
2025-07-14 00:00:00+00:00,9074,20393807.774557963,0.7207405774741018,10196.903887278982,10154.04133936813,42.862547910851625,4.9789825674613235,5.000000000000001
2025-07-15 00:00:00+00:00,12937,30890286.481467426,0.7054958645744763,15445.143240733712,15930.908487486635,-485.76524675292444,5.157255015114332,5.0
2025-07-16 00:00:00+00:00,11612,20292753.453540117,0.6960902514640027,10146.376726770059,9792.732455164705,353.6442716053539,4.8257287891389335,5.0
2025-07-17 00:00:00+00:00,14624,28525283.368805222,0.724699124726477,14262.641684402612,14547.5878883408,-284.94620393818803,5.099892505975875,5.0
2025-07-18 00:00:00+00:00,15606,31308709.080927804,0.713763936947328,15654.354540463903,15352.658615210246,301.6959252536562,4.903638337667062,5.000000000000001
2025-07-19 00:00:00+00:00,6887,13398011.628670713,0.7413968346159431,6699.005814335356,6783.332396724338,-84.32658238898199,5.062939624719036,5.0
2025-07-20 00:00:00+00:00,10017,23327578.711562783,0.7041030248577418,11663.789355781391,11418.672399256635,245.11695652475544,4.894923961223949,5.0
2025-07-21 00:00:00+00:00,10044,24981707.8654016,0.7089804858622063,12490.8539327008,10852.728850324982,1638.125082375819,4.344270179123927,5.000000000000001
2025-07-22 00:00:00+00:00,10936,27080650.59247532,0.702633504023409,13540.325296237661,13968.121549405894,-427.7962531682325,5.157971187474758,5.000000000000001
2025-07-23 00:00:00+00:00,10069,30979435.41545147,0.6861654583374714,15489.717707725735,16170.937508264326,-681.2198005385892,5.219894194778908,4.999999999999999
2025-07-24 00:00:00+00:00,11067,30463655.619912162,0.6984729375621216,15231.827809956083,15613.849204608916,-382.02139465283346,5.125402348102679,5.000000000000001
2025-07-25 00:00:00+00:00,12424,39161261.938848354,0.6807791371538957,19580.630969424175,20415.392044028984,-834.7610746048074,5.213159901718263,5.0
2025-07-26 00:00:00+00:00,4505,12034357.132352363,0.5986681465038846,6017.178566176181,5940.168171469773,77.01039470640748,4.936007886537305,5.0
