ts_ms,swaps,volume_quote,arb_share,fee_income,arb_loss,lp_gain,arb_loss_bps,fee_bps
2025-03-30 00:00:00+00:00,2104,9333122.986395799,0.5746197718631179,4666.5614931979,4515.7443619853575,150.81713121254217,4.83840657469919,5.000000000000001
2025-03-31 00:00:00+00:00,4353,22937226.159575634,0.6455318171376062,11468.613079787818,12437.070503438585,-968.457423650768,5.422220811231991,5.0
2025-04-01 00:00:00+00:00,4303,22264571.79510897,0.5614687427376249,11132.285897554484,9631.053306077421,1501.2325914770627,4.325730310336868,4.999999999999999
2025-04-02 00:00:00+00:00,5662,42532209.631963246,0.6414694454256447,21266.104815981624,25449.724755687752,-4183.619939706128,5.983635690670091,5.0
2025-04-03 00:00:00+00:00,4881,28295777.923543926,0.6435156730178242,14147.888961771963,14692.797549639392,-544.9085878674284,5.192575934593418,5.0
2025-04-04 00:00:00+00:00,6190,47315599.88245141,0.6678513731825525,23657.7999412257,26265.550852603774,-2607.7509113780707,5.551139775857569,4.999999999999999
2025-04-05 00:00:00+00:00,1869,8889756.686421676,0.5789192081326913,4444.878343210838,4179.2992957448805,265.5790474659576,4.70125273746625,4.999999999999999
2025-04-06 00:00:00+00:00,5425,40319446.838219576,0.6114285714285714,20159.72341910979,17169.902137395413,2989.8212817143735,4.258466691343526,5.0
2025-04-07 00:00:00+00:00,11414,87619990.18600808,0.6575258454529526,43809.995093004036,56302.43929959999,-12492.444206595956,6.4257527511787895,4.999999999999999
2025-04-08 00:00:00+00:00,6171,45063812.823820695,0.6916221033868093,22531.90641191035,26658.595226648813,-4126.688814738466,5.915743377257484,5.0
2025-04-09 00:00:00+00:00,9849,96756133.16319512,0.6824043050055844,48378.06658159756,59184.295368648585,-10806.228787051026,6.11685207270784,5.0
2025-04-10 00:00:00+00:00,5349,35816566.021972075,0.7016264722378015,17908.283010986037,21117.88594991481,-3209.6029389287723,5.896122463822971,5.0
2025-04-11 00:00:00+00:00,5086,30301594.51052534,0.6781360597719229,15150.797255262669,17525.96472073733,-2375.1674654746635,5.783842402963198,5.0
