grid_ms,mass_pre,mass_post
0.0,0.0,0.0
10.0,4.7158804647541075e-07,1.3022527266041288e-12
20.0,4.7158804647541075e-07,1.3022527266041288e-12
30.0,0.0006578199552331713,1.3022527266041288e-12
40.0,0.0006578199552331713,1.3022527266041288e-12
50.0,0.0006578199552331713,1.3022527266041288e-12
60.0,0.0006578199552331713,1.3022527266041288e-12
70.0,0.12740852147732468,0.03167206047601085
80.0,9.206806202413544e-13,0.03167206047601085
90.0,9.206806202413544e-13,5.6711051736563445e-36
100.0,9.206806202413544e-13,5.6711051736563445e-36
110.0,5.357549055837485e-10,5.6711051736563445e-36
120.0,5.357549055837485e-10,5.6711051736563445e-36
130.0,5.357549055837485e-10,5.6711051736563445e-36
140.0,5.357549055837485e-10,5.6711051736563445e-36
150.0,2.7304951540013674e-07,5.6711051736563445e-36
160.0,2.7304951540013674e-07,5.6711051736563445e-36
170.0,2.7304951540013674e-07,5.6711051736563445e-36
180.0,2.7304951540013674e-07,5.6711051736563445e-36
190.0,2.7304951540013674e-07,3.1202352149735896e-18
200.0,0.00013502809640488539,0.01305774894815697
210.0,0.00013502809640488539,0.01305774894815697
220.0,0.06761855055298449,0.01305774894815697
230.0,0.06761855055298449,0.01305774894815697
240.0,0.06761855055298449,0.01305774894815697
250.0,0.06761855055298449,0.01305774894815697
260.0,1.9781710316999734e-05,0.01305774894815697
270.0,1.9781710316999734e-05,0.01305774894815697
280.0,5.377171569457677e-09,0.01305774894815697
290.0,1.1824088616352e-12,1.0794190236292807e-13
300.0,4.011286762303741e-07,1.0794190236292807e-13
310.0,4.011286762303741e-07,1.0794190236292807e-13
320.0,1.0572132289518197e-10,1.0794190236292807e-13
330.0,1.0572132289518197e-10,1.0794190236292807e-13
340.0,1.0572132289518197e-10,1.0794190236292807e-13
350.0,1.0572132289518197e-10,1.0794190236292807e-13
360.0,1.0572132289518197e-10,1.0794190236292807e-13
370.0,1.0572132289518197e-10,1.0794190236292807e-13
380.0,1.0572132289518197e-10,1.0794190236292807e-13
390.0,1.0572132289518197e-10,1.0794190236292807e-13
400.0,2.4356049178417732e-14,1.0794190236292807e-13
410.0,2.4356049178417732e-14,1.0794190236292807e-13
420.0,2.4356049178417732e-14,1.0794190236292807e-13
430.0,2.4356049178417732e-14,1.0794190236292807e-13
440.0,2.4356049178417732e-14,1.0794190236292807e-13
450.0,4.562699968642324e-18,1.0794190236292807e-13
460.0,4.562699968642324e-18,1.0794190236292807e-13
470.0,4.562699968642324e-18,1.0794190236292807e-13
480.0,4.562699968642324e-18,1.0794190236292807e-13
490.0,4.562699968642324e-18,1.0794190236292807e-13
500.0,6.793412602444774e-22,1.0794190236292807e-13
510.0,6.793412602444774e-22,1.0794190236292807e-13
520.0,6.793412602444774e-22,1.0794190236292807e-13
530.0,6.793412602444774e-22,1.0794190236292807e-13
540.0,6.793412602444774e-22,1.0794190236292807e-13
550.0,6.793412602444774e-22,1.0794190236292807e-13
