sender,distinct_eoas,arbs_with_tx,median_arbs_per_eoa,top_eoa_share,top3_eoa_share,strict_arbs,pools,tx_to_equals_sender_share,public,wallet_rotation,operator
0xb5cb0555942cb5b5555f7b87fb605db2f86818a9,80,682,8.0,0.02785923753665689,0.07917888563049853,682,4,0.6818181818181818,False,True,c:0xb5cb0555942cb5b5555f7b87fb605db2f86818a9
0x990636ecb3ff04d33d92e970d3d588bf5cd8d086,395,667,1.0,0.12593703148425786,0.24887556221889057,667,4,0.0,True,False,public
0x22f171160544953b83b1f5d60bf04144d76b4275,10,665,64.5,0.12330827067669173,0.362406015037594,665,3,1.0,False,False,c:0x3a1b4d22b94412a258e282d35befb66e86a22cfa
0x4a99693dbc7545efc4b39431f163adcb4ed541fb,455,578,1.0,0.12629757785467127,0.14359861591695502,611,4,0.0,True,False,public
0x50282d18fb0431e6306b8aa8595efc07810a967a,20,529,27.0,0.06805293005671077,0.1890359168241966,556,4,0.9514388489208633,False,False,c:0x77519fa2324078e75b43c1bf2f8681069100c6c0
0x6b3affc894b0d2d566e5ff03ad79188f1b65bfff,10,545,54.5,0.12110091743119267,0.344954128440367,552,4,0.9873188405797102,False,False,c:0x6b3affc894b0d2d566e5ff03ad79188f1b65bfff
0x2480faeb931272cd1f7375d8f4c104a4db5fff63,188,511,2.0,0.021526418786692758,0.05283757338551859,518,4,0.9864864864864865,True,False,public
0x0b04d2eb5da34d118d8b5c31cef911b67d806c88,115,482,4.0,0.024896265560165973,0.07053941908713693,493,4,0.9776876267748479,False,True,c:0xe5770d891f8b12401b504ca7abaea56f06c40c1f
0xf6fd1b383bbf5975ca6e27ea6abc4ddca085b875,15,465,31.0,0.13118279569892474,0.35268817204301073,478,4,0.9728033472803347,False,False,c:0xf6fd1b383bbf5975ca6e27ea6abc4ddca085b875
0x33c37cd8b78c521d21b17db4d52a016e963c0e41,33,461,10.0,0.09327548806941431,0.2668112798264642,476,4,0.9684873949579832,False,True,c:0xe5770d891f8b12401b504ca7abaea56f06c40c1f
0x0000069bb6cecfb3e341d63194b4f0fe4cc28477,16,425,26.0,0.08470588235294117,0.2376470588235294,425,3,1.0,False,False,c:0x0000069bb6cecfb3e341d63194b4f0fe4cc28477
0xa01cd5b68265b972b73a713f6d824d1a6d3612b0,36,377,8.5,0.11140583554376658,0.26790450928381965,377,4,0.8938992042440318,False,True,c:0xd48648d2c58117d3e82fdb74a557498952181e36
0x079892feef4b51fa346aa9dbb72e0c538f048144,5,373,73.0,0.21447721179624665,0.6193029490616622,373,3,1.0,False,False,c:0x079892feef4b51fa346aa9dbb72e0c538f048144
0x371148e04422670554536cfaa4f947a37a0e0aa8,167,343,2.0,0.02040816326530612,0.05539358600583091,358,4,0.9581005586592178,True,False,public
0xe2228e892aae78fffd5f27d158074e888b72b5b9,1,326,326.0,1.0,1.0,347,4,0.9394812680115274,False,False,c:0xe2228e892aae78fffd5f27d158074e888b72b5b9
0x4b1b2ea60cc20a171cb7eed8fe0de988f79651d2,20,347,16.0,0.10086455331412104,0.23631123919308358,347,2,1.0,False,False,c:0x4b1b2ea60cc20a171cb7eed8fe0de988f79651d2
0x09ec43617504ca0484c2233b5a1c06bc3770ae00,15,343,22.0,0.13411078717201166,0.36151603498542273,343,4,1.0,False,False,c:0x09ec43617504ca0484c2233b5a1c06bc3770ae00
0x98cb8cc0048defc498e7c885619ce2e236664c46,39,334,5.0,0.08083832335329341,0.19461077844311378,334,4,1.0,False,True,c:0x98cb8cc0048defc498e7c885619ce2e236664c46
0x9e488cad7d2f459cd86428b1ece855506bdba8b3,6,322,57.5,0.2701863354037267,0.6583850931677019,332,4,0.9698795180722891,False,False,c:0x9e488cad7d2f459cd86428b1ece855506bdba8b3
0x7c249c2316a99803ca540c219a520a34be5f37dc,5,331,63.0,0.24773413897280966,0.649546827794562,331,3,1.0,False,False,c:0x7c249c2316a99803ca540c219a520a34be5f37dc
0x1de460f363af910f51726def188f9004276bf4bc,250,329,1.0,0.02735562310030395,0.06382978723404255,329,2,1.0,True,False,public
0xf5647a353608b4f5496da27ac0165f335bacada7,219,325,1.0,0.07384615384615385,0.20307692307692307,328,4,0.003048780487804878,True,False,public
0xaf7076ff9f05f2653e73aea69cf68e6ffc4ec800,32,305,9.0,0.07540983606557378,0.20327868852459016,321,4,0.9501557632398754,False,True,c:0xaf7076ff9f05f2653e73aea69cf68e6ffc4ec800
0xe65f1199abfb99cb1b46704195a4ca47c8342572,32,313,9.5,0.0670926517571885,0.19169329073482427,313,4,1.0,False,True,c:0xe65f1199abfb99cb1b46704195a4ca47c8342572
0x1911c4fd8cccc5931ab39e66779ea4b5a851827a,156,296,1.0,0.13175675675675674,0.32432432432432434,309,4,0.0,True,False,public
0x54516061a25550fd284e0a27e4a9805bd7bd1585,15,303,21.0,0.0858085808580858,0.25412541254125415,306,2,0.9901960784313726,False,False,c:0x54516061a25550fd284e0a27e4a9805bd7bd1585
0x00000000ae2193c4ac6521146b1adafe9b43361d,274,299,1.0,0.016722408026755852,0.030100334448160536,301,4,0.0,True,False,public
0x1b5be83a2101b93d206faf09cc67a6aba754eb7a,33,283,6.0,0.1166077738515901,0.3250883392226148,301,4,0.9401993355481728,False,True,c:0x232fa21c545e6b05e30795aaa0bea78cd3192193
0xb7cbad7dd322bd1610c61c539ff2d36909055f54,169,264,1.0,0.14393939393939395,0.25757575757575757,280,4,0.0035714285714285713,True,False,public
0xb11a1ae493c8beb4863d491fecffc381842bbe1a,5,279,51.0,0.27956989247311825,0.6738351254480287,279,4,1.0,False,False,c:0xb11a1ae493c8beb4863d491fecffc381842bbe1a
0x25c3c965e99223bc450ca059ceab89ce9912a3f3,35,250,7.0,0.06,0.148,268,4,0.9328358208955224,False,True,c:0x25c3c965e99223bc450ca059ceab89ce9912a3f3
0xd48648d2c58117d3e82fdb74a557498952181e36,33,245,7.0,0.08163265306122448,0.19183673469387755,254,4,0.9448818897637795,False,True,c:0xd48648d2c58117d3e82fdb74a557498952181e36
0x9c71dc4b91e6bcbbe0c2f4faf712ad7d4998ac52,46,222,5.0,0.04954954954954955,0.13963963963963963,247,4,0.8987854251012146,False,True,c:0x9c71dc4b91e6bcbbe0c2f4faf712ad7d4998ac52
0xd17f5e895e630e0e567e02754a7a6acec7a194c9,128,235,1.0,0.225531914893617,0.3829787234042553,242,4,0.004132231404958678,True,False,public
0x6ca1e411487a3d07d5b321677ecaf4fb228978bb,1,193,193.0,1.0,1.0,221,4,0.8733031674208145,False,False,c:0x6ca1e411487a3d07d5b321677ecaf4fb228978bb
0x6ecf62657b75f23eb14e715873ca001fae56d310,1,219,219.0,1.0,1.0,219,2,1.0,False,False,c:0x6ecf62657b75f23eb14e715873ca001fae56d310
0xe82c715e37f2f2e190dd2ca86fb796cafaf0beff,17,213,12.0,0.15023474178403756,0.3380281690140845,217,4,0.9815668202764977,False,False,c:0xe82c715e37f2f2e190dd2ca86fb796cafaf0beff
0x3cfa4c77c35c78bb0b4d719a5afecf949817bcbc,4,184,44.5,0.29347826086956524,0.7771739130434783,213,4,0.863849765258216,False,False,c:0x3cfa4c77c35c78bb0b4d719a5afecf949817bcbc
0x31e774a0be922fbf3104e0c0060a9897a8779b35,5,198,39.0,0.21717171717171718,0.6262626262626263,198,3,1.0,False,False,c:0x5bcd210a9a3117017ab055e9b69273d8a127d22e
0x56c77a490f16ab2c06b28c15729b0b89cf33bdad,11,196,19.0,0.11224489795918367,0.32653061224489793,196,1,1.0,False,False,c:0x56c77a490f16ab2c06b28c15729b0b89cf33bdad
0x2f3e16796df1d2a9348023f3e73b9de653c34229,61,194,2.0,0.13402061855670103,0.28350515463917525,195,4,0.9948717948717949,True,False,public
0x6d9cb7cbe8fd713bc64530ff70e440d663c15d20,57,157,3.0,0.03821656050955414,0.10191082802547771,186,4,0.8440860215053764,False,True,c:0x6d9cb7cbe8fd713bc64530ff70e440d663c15d20
0x3a1b4d22b94412a258e282d35befb66e86a22cfa,10,186,18.5,0.12903225806451613,0.3709677419354839,186,3,1.0,False,False,c:0x3a1b4d22b94412a258e282d35befb66e86a22cfa
0x68df238e4dac7c742c4f0e8c33d3dd40b0252cf6,25,166,7.0,0.08433734939759036,0.20481927710843373,186,4,0.8924731182795699,False,False,c:0x68df238e4dac7c742c4f0e8c33d3dd40b0252cf6
