sender,distinct_eoas,arbs_with_tx,median_arbs_per_eoa,top_eoa_share,top3_eoa_share,strict_arbs,pools,tx_to_equals_sender_share,public,wallet_rotation,operator
0x0f4a1d7fdf4890be35e71f3e0bbc4a0ec377eca3,719,1164,1.0,0.17353951890034364,0.2190721649484536,1164,4,0.0,True,False,public
0x000000000008d5760657dd664c7096897e1ae801,45,1024,17.0,0.0654296875,0.177734375,1024,4,1.0,False,True,c:0x000000000008d5760657dd664c7096897e1ae801
0xf6687cd56aec1a0faaba12feb6781398ab47fb21,64,926,14.0,0.026997840172786176,0.0755939524838013,926,4,1.0,False,True,c:0xf6687cd56aec1a0faaba12feb6781398ab47fb21
0x3119c0ef175e0ce6ae15ecfc75aed0b39db4983b,22,858,11.5,0.1561771561771562,0.3717948717948718,877,4,0.9783352337514253,False,False,c:0xd5babf99197bd045c85416ce114b6a4fe6e55340
0xd5babf99197bd045c85416ce114b6a4fe6e55340,21,861,17.0,0.13937282229965156,0.38443670150987225,873,4,0.9862542955326461,False,False,c:0xd5babf99197bd045c85416ce114b6a4fe6e55340
0x2d3b5ca3e5ff50b12cd9d58216abaaa6b3836443,39,865,22.0,0.03699421965317919,0.10520231213872833,865,4,1.0,False,True,c:0x2d3b5ca3e5ff50b12cd9d58216abaaa6b3836443
0x7b1f9eb7ab8cbdb1ce2cd96d74234c75c2fd028c,4,784,197.0,0.2602040816326531,0.7627551020408163,784,4,1.0,False,False,c:0x7b1f9eb7ab8cbdb1ce2cd96d74234c75c2fd028c
0x19113a761706a5914bb272690dc5d691554c12b5,72,750,9.0,0.088,0.17333333333333334,750,4,1.0,False,True,c:0x19113a761706a5914bb272690dc5d691554c12b5
0x779a74436eda060911b2c4f209d34ea155f3df09,350,708,1.0,0.11299435028248588,0.2768361581920904,716,4,0.006983240223463687,True,False,public
0x4c6f446dd88fd1be8b80d2940806002777dc12a2,385,683,1.0,0.07759882869692533,0.1800878477306003,685,4,0.008759124087591242,True,False,public
0x9c1a49609aec38c0ccd9e07be3ec9e11823bc855,4,649,93.0,0.6718027734976888,0.9583975346687211,649,4,1.0,False,False,c:0xe0ad8db26ea39ac29fe31b3621dd31c8ee9aefc8
0x55877bd7f2ee37bde55ca4b271a3631f3a7ef121,497,588,1.0,0.061224489795918366,0.09183673469387756,606,4,0.0,True,False,public
0x2b168756627546c0e4b799adfa874592c68c1596,4,547,135.5,0.2687385740402194,0.7641681901279708,547,4,1.0,False,False,c:0x7b1f9eb7ab8cbdb1ce2cd96d74234c75c2fd028c
0x3f1aba670a0234109be0222a805f3207117c2531,410,513,1.0,0.029239766081871343,0.05458089668615984,529,4,0.0,True,False,public
0x87dec0f53ee7358ae9812064ec009bfaae0c0685,13,507,44.0,0.126232741617357,0.34122287968441817,527,3,0.0,False,False,c:0xfbcb2705105e4b07b5f6aab73c4b928d941abca6
0xa01cd5b68265b972b73a713f6d824d1a6d3612b0,39,497,13.0,0.052313883299798795,0.13682092555331993,515,4,0.8019417475728156,False,True,c:0xa01cd5b68265b972b73a713f6d824d1a6d3612b0
0xe0ad8db26ea39ac29fe31b3621dd31c8ee9aefc8,4,472,58.5,0.7415254237288136,0.989406779661017,472,4,1.0,False,False,c:0xe0ad8db26ea39ac29fe31b3621dd31c8ee9aefc8
