sender,n_arb_strict,share,arb_share_of_own_swaps,n_cex,tau_p10_ms,tau_p50_ms,p_k1,overshoot_bps,arb_loss_sum_quote,volume_quote,share_same_block
0x2b168756627546c0e4b799adfa874592c68c1596,9,0.18,0.6923076923076923,6,,,,12.14266604671853,10.017146659077088,999.4096329603254,0.0
0xb5cb0555a1d28c9dfdbc14017dae131d5c1cc19c,6,0.12,0.1935483870967742,3,,,,9.75581421052242,1.8701857121295273,174.05227195301896,0.16666666666666666
0x000000000008d5760657dd664c7096897e1ae801,5,0.1,0.15625,3,,,,4.16356025275397,1.223048956218957,121.42075644764179,0.0
0x63bb8d3cb8d61e094cae85e30d0f3c9d96552758,3,0.06,0.6,1,,,,9.541701960453132,1.5226366609487345,153.16806530995675,0.0
0xf6687cd56aec1a0faaba12feb6781398ab47fb21,2,0.04,0.14285714285714285,0,,,,22.213622545264688,1.8080132096441495,165.13517198860774,0.0
0xa87add891c727571bf07297cc8883c11ba7a73f0,2,0.04,0.3333333333333333,1,,,,4.238804594544708,0.576160730891158,56.51045726539232,0.0
0x87216fe4d5b314f2a65031faf72a942c2cdf1c0f,2,0.04,0.15384615384615385,0,,,,5.381168187644867,0.531786394429605,52.4339730911641,0.0
0x72ce954dd0ab0fb91d9b5d51d4b378b99ee0bef1,2,0.04,0.6666666666666666,0,,,,11.536926980345672,1.001554935868358,96.41205539979282,0.0
0x34fc3152a5abf57699f00d6fef5ebac8da2fb33a,2,0.04,0.25,0,,,,229.50535582473347,49.85972961799103,1605.3274413985002,0.5
0x7b107da9d81f3f713a63c72b955c530e487afe65,2,0.04,0.13333333333333333,0,,,,5.21568999349473,0.4627646829709642,45.59581412382565,0.5
0x0eb2e2b2a15f8de62189959f95af6278de36f562,2,0.04,0.6666666666666666,0,,,,12.16699540275765,1.1102889447846283,107.71827575825557,0.5
0x5085d11b52c02cadb3e33a818e7c0cac52ed7c3b,1,0.02,0.2,0,,,,2.5001097527977723,0.08548433291950551,8.449909611987847,0.0
0x801357436a63a484718f14c0c25ac2300601a1c2,1,0.02,0.3333333333333333,1,,,,1.164485499377619,0.12655092054600053,12.74,0.0
0x64cd5941e231a838caeb1d3f09a54616077fe0cc,1,0.02,0.5,1,,,,13.37873316039193,1.0628595411497717,100.64749606577213,0.0
0xaf30736465dec110ec6ab68d3a22e4b24968401f,1,0.02,0.5,1,,,,23.979121831573334,1.4529506865426527,129.8822950038118,0.0
