sender,distinct_eoas,median_arbs_per_eoa,top3_eoa_share,strict_arbs,pools,tx_to_equals_sender_share,public
0x5efc784d444126ecc05f22c49ff3fbd7d9f4868a,12594,1.0,0.0140942167751819,39165,4,0.0,True
0xde9e4fe32b049f821c7f3e9802381aa470ffca73,12369,1.0,0.0122120028299855,32509,4,0.0,True
0x13f4ea83d0bd40e75c8222255bc855a974568dd4,3410,1.0,0.4272043745727956,11704,4,0.2089883800410116,True
0x1b81d678ffb9c0263b24a97847620c99d213eb14,1360,1.0,0.4706911636045494,8001,4,0.1827271591051118,True
0x1a0a18ac4becddbd6389559687d1a73d8927e416,5063,1.0,0.0142236270248913,7593,4,0.9985512972474648,True
0xca852767b43a395ac1dd54737193eba5e20c78bd,4876,1.0,0.0092394215318693,7489,4,0.0,True
0xd9c500dff816a1da21a48a732d3498bf09dc9aeb,2406,1.0,0.1438658428949691,4532,4,0.997793468667255,True
0xca9326c4c307dc84e676e6c9c7095bde2efa981d,1318,1.0,0.0670663169726489,2669,4,0.0,True
0x0f4a1d7fdf4890be35e71f3e0bbc4a0ec377eca3,719,1.0,0.2190721649484536,1164,4,0.0,True
0x779a74436eda060911b2c4f209d34ea155f3df09,350,1.0,0.2768361581920904,716,4,0.0069832402234636,True
0x4c6f446dd88fd1be8b80d2940806002777dc12a2,385,1.0,0.1800878477306003,685,4,0.0087591240875912,True
0x55877bd7f2ee37bde55ca4b271a3631f3a7ef121,497,1.0,0.0918367346938775,606,4,0.0,True
0x3f1aba670a0234109be0222a805f3207117c2531,410,1.0,0.0545808966861598,529,4,0.0,True
0x6e4141d33021b52c91c28608403db4a0ffb50ec6,132,1.0,0.3969298245614035,471,4,0.0,True
0x6166bd61e8eca7ae942046fb6251a998a2d7c687,199,1.0,0.1205673758865248,445,4,0.0,True
0x95df2693b312cb9ac7ea169aabeae04bac58015c,262,1.0,0.0319148936170212,394,4,0.9543147208121828,True
0xda77c035e4d5a748b4ab6674327fa446f17098a2,360,1.0,0.0231958762886597,391,2,0.9923273657289002,True
0x9be520b4ee9f702dbafe21eede032f2454010498,124,1.0,0.4009009009009009,226,4,0.9823008849557522,True
0x85cd07ea01423b1e937929b44e4ad8c40bbb5e71,89,1.0,0.3694267515923566,193,4,0.0,True
0x678a8e7e15ac3e75f2605637655528980362d2b9,111,1.0,0.0930232558139534,172,2,1.0,True
0x1de460f363af910f51726def188f9004276bf4bc,124,1.0,0.0544217687074829,147,2,1.0,True
0x0c575cba80b5d8e0314cefcd4decdb38b7dcbe3a,50,1.0,0.1666666666666666,108,4,0.0,True
0x15392211222b46a0ea85a9a800830486d144848d,35,1.0,0.4146341463414634,106,4,0.1792452830188679,True
0x6140b987d6b51fd75b66c3b07733beb5167c42fc,73,1.0,0.1204819277108433,106,4,0.0,True
0x8a0f488d97061320e87e5ac9a27847014c7ab00b,92,1.0,0.0693069306930693,106,2,0.9528301886792452,True
0xfad9a6422152c257006a4dbb3374ae700e9d3a8a,76,1.0,0.0804597701149425,91,4,0.956043956043956,True
0xefe7a50f92b089b06d0e6cbcc85d7584424921b2,60,1.0,0.09375,70,3,0.9142857142857144,True
0x126f47fe3705b785c8bf17940a8418b3f07c5b2a,62,1.0,0.088235294117647,68,1,1.0,True
0x2762cc4891fb1d59db488100c2db0df10f7d7292,32,1.0,0.1702127659574468,55,4,0.8545454545454545,True
0x7faa9143f9eef51ac872568e72c26d9c2a5bc656,36,1.0,0.1627906976744186,43,1,1.0,True
0xce6e8180bc00192f4cbb4a6a787dee28c3327a4d,31,1.0,0.0967741935483871,39,3,0.7948717948717948,True
