sender,distinct_eoas,median_arbs_per_eoa,top3_eoa_share,strict_arbs,pools,tx_to_equals_sender_share,public
0x5efc784d444126ecc05f22c49ff3fbd7d9f4868a,25244,1.0,0.0079316934089599,65938,4,0.0,True
0xca852767b43a395ac1dd54737193eba5e20c78bd,13945,1.0,0.0076635615251299,36928,4,0.0,True
0xde9e4fe32b049f821c7f3e9802381aa470ffca73,7185,1.0,0.014626091059212,21195,4,0.0,True
0x1b81d678ffb9c0263b24a97847620c99d213eb14,1209,1.0,0.0838513256374476,7883,4,0.1910440187745782,True
0x13f4ea83d0bd40e75c8222255bc855a974568dd4,2245,1.0,0.2232346241457858,6585,4,0.3345482156416097,True
0x7a7ad9aa93cd0a2d0255326e5fb145cec14997ff,2434,1.0,0.0490736104156234,5991,4,0.0,True
0xd9c500dff816a1da21a48a732d3498bf09dc9aeb,3368,1.0,0.0688535793610114,5853,4,0.9431060994361866,True
0x6e4141d33021b52c91c28608403db4a0ffb50ec6,267,1.0,0.4403567447045708,897,4,0.0,True
0x653b40ab9dd1d1b42845f67f2be617b2445b7ea5,424,1.0,0.145580589254766,589,4,0.0050933786078098,True
0x779a74436eda060911b2c4f209d34ea155f3df09,308,1.0,0.1666666666666666,489,4,0.0265848670756646,True
0x55877bd7f2ee37bde55ca4b271a3631f3a7ef121,349,1.0,0.170995670995671,462,4,0.0,True
0x081df5b08fd64abee82c34c0dee72084d01c3987,373,1.0,0.0133333333333333,375,4,1.0,True
0xda77c035e4d5a748b4ab6674327fa446f17098a2,247,1.0,0.0272373540856031,273,3,0.9413919413919414,True
0x9be520b4ee9f702dbafe21eede032f2454010498,155,1.0,0.1545893719806763,211,4,0.981042654028436,True
0x4a99693dbc7545efc4b39431f163adcb4ed541fb,45,1.0,0.5329341317365269,186,4,0.0,True
0x95df2693b312cb9ac7ea169aabeae04bac58015c,146,1.0,0.04375,173,4,0.9248554913294798,True
0xc3f3a07ae7d2a125ef81a5950c4d0dd54c740251,59,1.0,0.4210526315789473,160,4,0.0,True
0x7faa9143f9eef51ac872568e72c26d9c2a5bc656,45,1.0,0.323943661971831,149,2,0.953020134228188,True
0xf197da97df68f6e72264d340a820e8efd301e1a4,111,1.0,0.0512820512820512,135,4,0.8666666666666667,True
0xb5cb0550957bc59bc000d1183326a6215f3e4dd0,56,2.0,0.13,135,4,0.437037037037037,True
0x62b652a210eeaa6023dba46878ad9c0d8240e7b4,33,2.0,0.2289156626506024,106,4,0.0,True
0x38a183074870bc7a89616e5cf4a0565bfda5e133,46,1.0,0.175,94,3,0.851063829787234,True
0x3ced11c610556e5292fbc2e75d68c3899098c14c,41,1.0,0.1363636363636363,67,4,0.0,True
0xefe7a50f92b089b06d0e6cbcc85d7584424921b2,43,1.0,0.1304347826086956,49,2,0.9387755102040816,True
0xc786daabac8ecbe09a8671d5efb81fce2b1e3d33,31,1.0,0.25,45,2,0.0,True
0x1de460f363af910f51726def188f9004276bf4bc,36,1.0,0.1627906976744186,43,1,1.0,True
