ts_ms,swaps,volume_quote,arb_share,fee_income,arb_loss,lp_gain,arb_loss_bps,fee_bps
2025-05-31 00:00:00+00:00,62633,45643354.88515565,0.07381093034023598,22821.677442577824,8195.361564431634,14626.315878146192,1.7955212944035737,5.0
2025-06-01 00:00:00+00:00,61862,42807018.75713933,0.07119071481685041,21403.509378569666,8883.339727733994,12520.169650835673,2.0752063529891194,5.0
2025-06-02 00:00:00+00:00,98568,54173485.45083854,0.07302572843113384,27086.742725419273,11520.16004073764,15566.58268468163,2.126531077863169,5.0
2025-06-03 00:00:00+00:00,120906,58321162.92676304,0.059897771822738324,29160.581463381524,12325.739656349913,16834.84180703161,2.113424876631489,5.0
2025-06-04 00:00:00+00:00,105802,51309700.34074497,0.06623693313926013,25654.850170372487,11388.740376061298,14266.109794311187,2.219607657115376,5.0
2025-06-05 00:00:00+00:00,93586,70025141.54838946,0.09457611181159575,35012.57077419473,22632.13433552741,12380.436438667326,3.232001226286409,5.0
2025-06-06 00:00:00+00:00,63361,39782174.29241652,0.09065513486213916,19891.087146208258,10895.749405522482,8995.337740685778,2.738852161632474,4.999999999999999
2025-06-07 00:00:00+00:00,46164,18634723.24043923,0.05517286197036652,9317.361620219615,3997.0488445668407,5320.312775652774,2.144946717476781,5.0
2025-06-08 00:00:00+00:00,45930,31143143.084467385,0.05142608317004137,15571.57154223369,3342.8514448969067,12228.720097336785,1.0733828104088026,4.999999999999999
2025-06-09 00:00:00+00:00,56666,22950985.00224882,0.08054212402498853,11475.49250112441,6649.300064413327,4826.192436711082,2.8971741577809427,5.0
2025-06-10 00:00:00+00:00,82784,40996759.47080032,0.07700763432547351,20498.379735400158,11651.095702976267,8847.284032423893,2.841955279727581,5.0
2025-06-11 00:00:00+00:00,39554,24080583.719987698,0.10648733377155281,12040.29185999385,9284.96911468052,2755.3227453133295,3.8557907161418523,5.0
2025-06-12 00:00:00+00:00,45092,24904780.937242035,0.12778319879357758,12452.390468621017,8824.881349371122,3627.5091192498953,3.5434486942925076,5.0
2025-06-13 00:00:00+00:00,46631,36671336.93705578,0.15013617550556496,18335.66846852789,14880.485846304196,3455.1826222236937,4.057797475953954,5.0
2025-06-14 00:00:00+00:00,27454,15695132.20604178,0.09393895242951847,7847.56610302089,4315.460074857283,3532.106028163608,2.749553185156391,5.0
2025-06-15 00:00:00+00:00,78658,35234024.36869909,0.04898421012484426,17617.012184349547,4812.734907234911,12804.277277114634,1.3659339213917354,5.0
2025-06-16 00:00:00+00:00,71829,33988719.628218845,0.052597140430745246,16994.359814109423,6883.040559302181,10111.319254807244,2.0250955712928933,5.0
2025-06-17 00:00:00+00:00,58009,35366969.571999915,0.10027754313985761,17683.484785999957,10865.806615210284,6817.6781707896735,3.0723035495279643,5.0
2025-06-18 00:00:00+00:00,45210,34375444.74518811,0.14366290643662907,17187.722372594053,13474.341434394171,3713.380938199883,3.919757703289153,4.999999999999999
2025-06-19 00:00:00+00:00,40901,22111032.56697741,0.05596440184836556,11055.516283488707,4621.690388643868,6433.825894844838,2.0902191585327916,5.000000000000001
2025-06-20 00:00:00+00:00,39877,24475688.728738517,0.07124407553226171,12237.844364369257,6960.398790476281,5277.445573892977,2.843800992739223,4.999999999999999
2025-06-21 00:00:00+00:00,38775,23178066.099327713,0.0804126370083817,11589.033049663856,7407.45829465399,4181.574755009867,3.1958914358557493,5.0
2025-06-22 00:00:00+00:00,44812,38175801.68099286,0.14007408729804516,19087.900840496426,13738.202276064289,5349.698564432139,3.598667656245796,5.0
2025-06-23 00:00:00+00:00,32958,29307830.868247125,0.13429212937678256,14653.915434123563,11122.252748787812,3531.6626853357507,3.794976434382919,5.0
2025-06-24 00:00:00+00:00,23475,17127767.149806604,0.09580404685835996,8563.883574903302,5881.590888836975,2682.292686066327,3.433950752245827,5.0
2025-06-25 00:00:00+00:00,24419,23141813.980393454,0.14279864040296492,11570.906990196729,10199.863430076275,1371.043560120453,4.407547065548947,5.000000000000001
2025-06-26 00:00:00+00:00,21549,13465573.457364462,0.13550512784816002,6732.786728682231,5737.282165454542,995.5045632276895,4.260703922948609,4.999999999999999
2025-06-27 00:00:00+00:00,23381,11359437.550778454,0.10833582823660237,5679.718775389228,4581.317534254435,1098.4012411347926,4.033049623958257,5.0
2025-06-28 00:00:00+00:00,11980,4447562.768360316,0.0659432387312187,2223.781384180158,1474.1162523495752,749.6651318305828,3.3144360835924482,5.0
2025-06-29 00:00:00+00:00,13464,7230451.94583097,0.07612893642305407,3615.2259729154853,2173.4155310147103,1441.810441900775,3.0059193357448244,5.000000000000001
2025-06-30 00:00:00+00:00,20483,16370164.918987818,0.12717863594200068,8185.0824594939095,5002.453912208881,3182.628547285028,3.05583599002507,5.000000000000001
2025-07-01 00:00:00+00:00,16874,10650356.538516289,0.13588953419461894,5325.178269258145,3807.648882972361,1517.5293862857832,3.575137479390721,5.0
2025-07-02 00:00:00+00:00,18174,11968616.055357113,0.10426983602949268,5984.308027678557,3753.516012793686,2230.7920148848716,3.136132026821618,5.0
