ts_ms,swaps,volume_quote,arb_share,fee_income,arb_loss,lp_gain,arb_loss_bps,fee_bps
2025-05-31 00:00:00+00:00,19,77.82226349640652,0.631578947368421,0.7782226349640653,0.7834655658583222,-0.00524293089425687,100.67370578272875,100.00000000000001
2025-06-01 00:00:00+00:00,19,212.07672457783195,0.631578947368421,2.1207672457783198,0.8593103366164109,1.2614569091619088,40.518842335338164,100.00000000000001
2025-06-02 00:00:00+00:00,57,563.6312176122141,0.6666666666666666,5.636312176122141,4.260057932634474,1.3762542434876663,75.58236306856679,100.0
2025-06-03 00:00:00+00:00,54,2331.397344593653,0.6851851851851852,23.313973445936533,4.567977128739514,18.74599631719702,19.593301585130188,100.00000000000001
2025-06-04 00:00:00+00:00,28,2183.1858277124966,0.14285714285714285,21.831858277124965,0.9689204102957957,20.862937866829167,4.438103243419334,99.99999999999999
2025-06-05 00:00:00+00:00,81,1292.7394103298004,0.7530864197530864,12.927394103298004,13.585177013187229,-0.6577829098892247,105.0882869713194,100.0
2025-06-06 00:00:00+00:00,88,1101.035813677497,0.6590909090909091,11.010358136774968,5.229241583332771,5.781116553442197,47.49383733365518,99.99999999999999
2025-06-07 00:00:00+00:00,16,75.167935495412,0.3125,0.75167935495412,0.6588646051360161,0.09281474981810399,87.6523481446728,100.0
2025-06-08 00:00:00+00:00,15,1574.0187632802301,0.13333333333333333,15.7401876328023,-0.9614530899679096,16.701640722770215,-6.108269560677006,100.0
2025-06-09 00:00:00+00:00,33,287.54478110182515,0.6363636363636364,2.8754478110182515,2.518764713782283,0.3566830972359683,87.59556351990753,100.0
2025-06-10 00:00:00+00:00,93,1480.9932406039206,0.41935483870967744,14.809932406039207,4.010206980059288,10.799725425979918,27.07782095226851,100.0
2025-06-11 00:00:00+00:00,5,1.2042273675466113,0.0,0.012042273675466115,0.0022781926171920822,0.009764081058274032,18.918292995063506,100.00000000000001
2025-06-12 00:00:00+00:00,110,2151.82204458456,0.7454545454545455,21.518220445845603,5.59308324787018,15.92513719797542,25.992313174531148,100.00000000000001
2025-06-13 00:00:00+00:00,104,1206.5239559756994,0.8365384615384616,12.065239559756995,7.960255288587153,4.10498427116984,65.97676945543783,100.0
2025-06-14 00:00:00+00:00,28,268.3441853823957,0.6785714285714286,2.683441853823957,2.7151711099455933,-0.0317292561216362,101.1824089303974,99.99999999999999
2025-06-15 00:00:00+00:00,51,553.0262616586272,0.27450980392156865,5.530262616586272,0.7735253596765853,4.756737256909687,13.987136114596817,100.00000000000001
2025-06-16 00:00:00+00:00,38,651.3219774033801,0.39473684210526316,6.513219774033801,1.4178483343150448,5.095371439718757,21.76877770910739,100.0
2025-06-17 00:00:00+00:00,65,1530.3821950037966,0.7692307692307693,15.303821950037966,4.326159070968441,10.977662879069523,28.268487996606034,100.0
2025-06-18 00:00:00+00:00,64,651.9450777807299,0.640625,6.519450777807299,4.479129736127916,2.040321041679383,68.70409623116123,100.0
2025-06-19 00:00:00+00:00,6,55.530441485975615,0.0,0.5553044148597562,0.0696299616429919,0.4856744532167643,12.539061419235638,100.00000000000001
2025-06-20 00:00:00+00:00,23,201.77179264512858,0.4782608695652174,2.017717926451286,1.0137352988308244,1.0039826276204615,50.24167578338156,100.00000000000001
2025-06-21 00:00:00+00:00,82,779.6932410027487,0.43902439024390244,7.796932410027487,2.8868075599135423,4.910124850113945,37.02491451895715,100.0
2025-06-22 00:00:00+00:00,70,498.36326900619156,0.7142857142857143,4.983632690061915,5.166629681743124,-0.182996991681208,103.67195985462834,100.0
