Fork,Pool,Regime,Δt (s),σ (bp/√s),Swaps/h,Volume/h (kUSDT),Arbs/h,Strict arbs/h,"Overshoot, strict (bp)",Arb profit/h (USDT),LP loss/h (USDT),LP loss (bp of vol.),LP net (bp of vol.),Arb profit / LP loss
Lorentz,BTCB/USDT 0.05%,pre,3.0,0.7384299972947633,116.13095238095238,680.8417221782157,74.04166666666667,35.25595238095238,1.306421972837286,96.71461898431804,367.75443517839295,5.4014673777899045,-0.40146737778990443,0.2629869546981888
Lorentz,BTCB/USDT 0.05%,post,1.5,0.6982052925881529,156.36607142857142,759.7272982124543,99.14285714285714,32.88690476190476,0.9314405356017297,105.38275648256612,398.30230277596525,5.242700949579172,-0.24270094957917193,0.26457983232359367
Lorentz,ETH/USDT 0.05%,pre,3.0,1.2247054253758847,197.11607142857142,242.49527305100318,107.73809523809524,39.86607142857143,2.7786223090171775,101.92618535057214,139.3429903858459,5.7462147048342,-0.7462147048341997,0.7314769481287489
Lorentz,ETH/USDT 0.05%,post,1.5,1.4332313710963127,354.7827380952381,457.3342375684861,197.25,71.33333333333333,1.9531420404420559,272.6325151571895,246.9930205255303,5.400711344917466,-0.40071134491746735,1.1038065552504508
Lorentz,WBNB/USDT 0.05%,pre,3.0,0.5307154090645748,2273.997023809524,1006.5503955587809,260.4315476190476,34.8125,0.6072466356221214,107.27930319531359,360.88546050707174,3.585369019767045,1.4146309802329553,0.29726690303504594
Lorentz,WBNB/USDT 0.05%,post,1.5,0.7127925170804128,6567.538690476191,4017.673525204748,614.9940476190476,76.2827380952381,0.36786529267053963,210.85580050197345,681.5592711451212,1.6964028233488377,3.3035971766511625,0.30937265389656315
Maxwell,BTCB/USDT 0.05%,pre,1.5,0.696115488180038,171.19940476190476,743.7047142985869,106.31547619047619,39.907738095238095,0.7861887474274682,87.41316379793824,364.1533014265245,4.896476981055174,0.10352301894482595,0.2400449575920587
Maxwell,BTCB/USDT 0.05%,post,0.75,0.535206133125394,148.19940476190476,528.3685411777341,73.58333333333333,33.38392857142857,0.6456967364474214,50.460470080002736,216.2022066212932,4.091882649549465,0.9081173504505363,0.23339479679035346
Maxwell,ETH/USDT 0.05%,pre,1.5,1.3766825633149864,380.3809523809524,510.91140524809913,215.79166666666666,92.94047619047619,1.315208878092521,109.15980990231189,279.31665331846057,5.467027168493608,-0.46702716849360704,0.3908102456671434
Maxwell,ETH/USDT 0.05%,post,0.75,1.0432208092009045,288.16964285714283,538.030762916335,190.6904761904762,76.9702380952381,0.9667834552550084,91.52277428520362,285.152344867724,5.299926407963885,-0.299926407963886,0.32096097378283545
Maxwell,WBNB/USDT 0.05%,pre,1.5,0.4944372058204158,1444.4583333333333,945.3152222830755,141.3779761904762,29.56845238095238,0.3593289359600112,60.08376125865558,312.76262789348914,3.3085538085181923,1.691446191481808,0.19210658787250318
Maxwell,WBNB/USDT 0.05%,post,0.75,0.41334235097615785,822.9553571428571,539.8554785793877,108.83630952380952,23.410714285714285,0.2976082922234245,45.419844231615215,187.97967202332836,3.4820369428868405,1.5179630571131588,0.24162104201340767
Fermi,BTCB/USDT 0.05%,pre,0.75,0.6772215290364934,230.43154761904762,920.4516302458444,120.61904761904762,40.595238095238095,0.46646978353451574,95.973958746613,464.6665770524026,5.048245467589583,-0.04824546758958314,0.20654371001981828
Fermi,BTCB/USDT 0.05%,post,0.45,0.7496418124977298,322.42857142857144,1303.4318784365937,167.25,45.904761904761905,0.3921872013372713,177.0461861802629,651.9234977829143,5.001592400554652,-0.0015924005546530653,0.27157509551713993
Fermi,ETH/USDT 0.05%,pre,0.75,0.9324228680269603,224.5297619047619,290.52248708071664,157.52380952380952,65.9672619047619,0.7335046772830994,40.694870805542145,157.88579838289695,5.434546563654851,-0.43454656365485067,0.25774877298875815
Fermi,ETH/USDT 0.05%,post,0.45,1.0658423721626833,283.4970238095238,244.09736731228907,199.91666666666666,83.4702380952381,0.7550377948212069,32.48348435973751,129.78095617575937,5.316770008818754,-0.31677000881875317,0.25029469127770854
Fermi,WBNB/USDT 0.05%,pre,0.75,0.6515266673735889,324.6220238095238,152.28115020593089,106.75892857142857,45.020833333333336,0.5554306725282371,29.92738649427255,68.45411144978867,4.495245232730229,0.5047547672697718,0.43718902868565307
Fermi,WBNB/USDT 0.05%,post,0.45,0.7054448314405226,408.67261904761904,150.243934357554,110.63095238095238,47.07440476190476,0.5244528773370148,15.373600540192372,68.50721378640691,4.559732416442974,0.44026758355702694,0.22440849204763275
