Fork,Pool,Regime,Δt (s),σ (bp/√s),Swaps/h,Volume/h (kUSDT),Arbs/h,Strict arbs/h,"Overshoot, strict (bp)",Arb profit/h (USDT),LP loss/h (USDT),LP loss (bp of vol.),LP net (bp of vol.),Arb profit / LP loss
Lorentz,BTCB/USDT 0.05%,pre,3.0,0.7384336135836642,116.13095238095238,680.8416882693713,74.04464285714286,35.25892857142857,1.306181708743748,96.60907163691593,367.71281818708223,5.400856388829097,-0.4008563888290962,0.2627296815847303
Lorentz,BTCB/USDT 0.05%,post,1.5,0.69573659503012,156.36607142857142,759.7328988781958,96.70238095238095,36.70238095238095,0.8980076720814122,95.48009760016913,387.3053222502388,5.097914317283416,-0.09791431728341558,0.24652410414974685
Lorentz,ETH/USDT 0.05%,pre,3.0,1.224709788174239,197.11607142857142,242.4952537456744,107.73511904761905,39.87202380952381,2.780728716498953,101.98167093841167,139.3531989676101,5.746636142980422,-0.7466361429804208,0.7318215275568614
Lorentz,ETH/USDT 0.05%,post,1.5,1.4285560235144676,354.7827380952381,457.3381335841896,197.20535714285714,84.89880952380952,1.903803069827595,265.11051926642324,240.252667465637,5.253283070509793,-0.25328307050979415,1.1034654560259634
Lorentz,WBNB/USDT 0.05%,pre,3.0,0.5306901406610666,2273.997023809524,1006.5504263141038,260.4017857142857,34.80952380952381,0.6072861446824456,107.23743326685207,360.8582824001198,3.5850988978421086,1.4149011021578914,0.29717326301505576
Lorentz,WBNB/USDT 0.05%,post,1.5,0.7125431765128171,6567.538690476191,4017.6823677708885,594.3869047619048,80.38690476190476,0.3768879953845782,197.44500093597642,667.3934613314887,1.6611404293310907,3.338859570668909,0.29584497358134465
Maxwell,BTCB/USDT 0.05%,pre,1.5,0.6939509709146339,171.19940476190476,743.7118655651418,100.38988095238095,44.69940476190476,0.7638601119995375,73.86812625825586,348.5784414232964,4.687009278229197,0.31299072177080367,0.21191249222597233
Maxwell,BTCB/USDT 0.05%,post,0.75,0.5311805481231134,148.19940476190476,528.3754386671549,62.785714285714285,34.392857142857146,0.5662628554693899,39.85742971071345,200.30541618924863,3.7909675872619273,1.2090324127380725,0.19898328497046797
Maxwell,ETH/USDT 0.05%,pre,1.5,1.3866713458830142,380.3809523809524,510.918074534935,207.97321428571428,107.38095238095238,1.294287213048838,95.93118374741798,266.467949195247,5.215473135057913,-0.2154731350579134,0.3600102152515426
Maxwell,ETH/USDT 0.05%,post,0.75,1.0375577993693135,288.16964285714283,538.0461432337124,169.29166666666666,88.8452380952381,0.8263525288603577,67.28118263203916,253.25170629912463,4.706877086360214,0.2931229136397866,0.265669217456608
Maxwell,WBNB/USDT 0.05%,pre,1.5,0.4930653977660833,1444.4583333333333,945.320415455728,131.21130952380952,31.86904761904762,0.35674326148225227,53.46419759269003,303.1261122175501,3.2065964858213336,1.7934035141786662,0.17637608717232314
Maxwell,WBNB/USDT 0.05%,post,0.75,0.4127532965532778,822.9553571428571,539.8606225902005,99.01488095238095,25.976190476190474,0.26852267840217364,39.23995347095811,178.72422495686374,3.310562346617572,1.6894376533824278,0.21955587431098905
Fermi,BTCB/USDT 0.05%,pre,0.75,0.6681053559269031,230.43154761904762,920.4766055400124,92.08035714285714,40.18154761904762,0.4233317366144811,64.6773653678207,411.98547865411786,4.4757843510039015,0.5242156489960991,0.15698942977094718
Fermi,BTCB/USDT 0.05%,post,0.45,0.7371116429798927,322.42857142857144,1303.4920793612314,115.0625,43.67857142857143,0.3445186441680948,122.17739497963798,541.6001902469374,4.154994102552164,0.8450058974478356,0.22558595284822996
Fermi,ETH/USDT 0.05%,pre,0.75,0.9175799470863831,224.5297619047619,290.5340893166459,116.68452380952381,64.07738095238095,0.6341217429432202,24.693861396064293,131.15043813724898,4.514115312448287,0.485884687551713,0.18828653374548515
Fermi,ETH/USDT 0.05%,post,0.45,1.0330392105115975,283.4970238095238,244.11438041352048,126.13095238095238,73.16369047619048,0.5994844751369752,16.141483580445836,97.38355601253328,3.989259290975372,1.0107407090246288,0.16575163447890962
Fermi,WBNB/USDT 0.05%,pre,0.75,0.6429333144274301,324.6220238095238,152.28560753772678,81.24107142857143,38.464285714285715,0.4974274790123291,25.080756231497606,59.22688921932304,3.8891980783312268,1.1108019216687732,0.42346907902964614
Fermi,WBNB/USDT 0.05%,post,0.45,0.6972609734849545,408.67261904761904,150.2499407817734,72.82738095238095,35.125,0.4597476823377703,10.23129873666262,57.49275355515649,3.826474290506399,1.173525709493601,0.1779580573897383
