窗口,被解释变量,跳跃（post）,分叉前斜率（/天）,斜率变化,n
±30 d,log 越界幅度（严格）,-0.110*** (0.041),-0.001 (0.001),-0.000 (0.002),4306
±30 d,log 套利者利润,+0.153* (0.082),-0.002 (0.003),-0.022*** (0.004),4262
±30 d,log 单笔 LP 损失,-0.083 (0.052),+0.006*** (0.002),-0.003 (0.003),4312
±30 d,log LP 损失（总）,+0.001 (0.023),+0.001 (0.001),+0.000 (0.001),4317
±14 d,log 越界幅度（严格）,-0.206*** (0.056),+0.008* (0.004),-0.003 (0.005),2006
±14 d,log 套利者利润,-0.218*** (0.082),+0.039*** (0.005),-0.040*** (0.011),1979
±14 d,log 单笔 LP 损失,-0.247*** (0.062),+0.027*** (0.005),-0.018*** (0.006),2009
±14 d,log LP 损失（总）,-0.026 (0.030),+0.002 (0.003),+0.001 (0.004),2012
