pool,dayrel,rv,hours,volume,liq,n_arb,over,profit,loss,sigma_bps
BTCB-USDT-500,-31,1.1670419736903202e-05,1,567904.8743509873,3.1394013903732024e+23,93,1.0673592333502309,65.17175611686565,262.16193323754914,0.5693666007284665
BTCB-USDT-500,-30,0.0001835230736059664,24,7694126.028061557,3.6424975264607745e+23,1444,0.6745970505364688,628.3150789280475,3972.134345621583,0.4608806405369186
BTCB-USDT-500,-29,0.000198791641097597,24,11522660.506973691,3.7611474417704193e+23,1563,0.7446276882678559,1820.6476423427678,4882.395702293845,0.47966959246655766
BTCB-USDT-500,-28,0.00038747127192112295,24,17831039.098521497,3.7173835841865466e+23,2616,0.7903313258944112,2629.990257165795,8472.626506165723,0.6696731443615441
BTCB-USDT-500,-27,0.00027408967588470116,24,14386732.526687028,3.743528391916001e+23,2063,0.7147204284504971,2765.064493025934,6263.719786167499,0.5632347833389275
BTCB-USDT-500,-26,0.00021305474977581295,24,10216034.986946877,3.7303673717050684e+23,1753,0.6953032745060511,958.2436610592188,4876.639523431919,0.4965794453799488
BTCB-USDT-500,-25,0.0006687744950278425,24,38447959.89554926,3.6020757528626244e+23,3970,0.8434899852364665,7776.440711789532,12988.603394447517,0.8797980191102804
BTCB-USDT-500,-24,0.0002799754382365575,24,22522530.44830605,3.6349331809302975e+23,2384,0.7768530484311665,4302.306290063417,6384.752602453564,0.5692500734362067
BTCB-USDT-500,-23,0.00012152861399477113,24,8030321.09625613,3.8060083104035397e+23,1081,0.6416440904813637,2465.607209031217,3034.257758838264,0.37504415479980974
BTCB-USDT-500,-22,0.00013315740279869827,24,8062269.530738661,3.860509219877271e+23,1133,0.6011442299014416,802.8740546994704,3368.2140845799295,0.3925778449560612
BTCB-USDT-500,-21,0.000384687488103837,24,20204713.312694952,3.337600553744856e+23,2739,0.7898525195929054,2892.353217573792,8013.595449695942,0.6672631776655519
BTCB-USDT-500,-20,0.000378441051094428,24,18286944.673736,2.9513831795851577e+23,2708,0.7154652854192299,4828.78034294843,6427.8002357097475,0.6618235987056794
BTCB-USDT-500,-19,0.0003307246350451477,24,15408375.26044848,3.1008687537911945e+23,2474,0.693038661619307,2222.384090764451,6658.647328632063,0.6186947085706854
BTCB-USDT-500,-18,0.0007014058742093397,24,35653019.71818062,3.334539288285192e+23,4433,0.8737709885537576,7584.580129928191,14811.178796789878,0.901006300981829
BTCB-USDT-500,-17,0.0005833471136398075,24,27980827.11290594,3.4881621364970525e+23,3902,0.84909209503792,3693.1534487905933,11519.370401069822,0.8216874529992799
BTCB-USDT-500,-16,0.00015728592208310348,24,6900498.306589279,3.7157908391027675e+23,1201,0.6678900271525013,537.5759437723302,3551.0902497276197,0.42666601844989754
BTCB-USDT-500,-15,0.00023564091843855724,24,9878167.00111498,3.7332389458534815e+23,1569,0.6528128990907001,916.6856459673356,4868.360653473187,0.522238015170354
BTCB-USDT-500,-14,0.0005062542486760625,24,20026363.96891335,3.6600157475396686e+23,2923,0.7752614333971098,2074.597394304247,10604.418782029277,0.7654687566773359
BTCB-USDT-500,-13,0.00045558409621172,24,20135031.37541193,3.723354739690001e+23,2897,0.7966791843499402,1702.9461009965755,9616.660292842258,0.7261517800380674
BTCB-USDT-500,-12,0.0005536357452747397,24,23415275.574736517,3.824338542791936e+23,3532,0.6956121138680431,2276.340662599953,12090.170562017878,0.8004886711169024
BTCB-USDT-500,-11,0.00016744611999833627,24,8930089.353059405,3.9297965962653474e+23,1492,0.5908243827512843,499.87909942956344,4201.585159409726,0.44023105254820905
BTCB-USDT-500,-10,0.0004227332397968738,24,18200511.679380707,3.6789623702933394e+23,2676,0.695328352372366,1975.8100217439912,8855.30882899064,0.6994816531534144
BTCB-USDT-500,-9,0.0006344173451572689,24,19632927.93857343,3.541786595438506e+23,2836,0.6714022775152118,2686.2800030880408,10879.341102147697,0.8569010063436528
BTCB-USDT-500,-8,0.0008199636155571191,24,36306829.58072548,3.082038182653072e+23,4800,0.9122073459933441,7524.983817228567,15550.261575742876,0.9741827151260535
BTCB-USDT-500,-7,0.0008333599384596886,24,35159087.060910806,3.499583471107089e+23,4545,0.828222857497006,4319.677566363674,17975.504814507214,0.9821084287439064
BTCB-USDT-500,-6,0.0004486072724052096,24,20441649.184026673,3.6738547165063544e+23,2789,0.658830171250502,2017.4776891670895,9858.50589259666,0.7205701770810545
BTCB-USDT-500,-5,0.00033342340204770243,24,15397186.610542286,3.523191239525436e+23,2339,0.70298675616633,1931.701289159442,7372.682503228531,0.6212139046520039
BTCB-USDT-500,-4,0.00029450921510179644,24,12382155.157727184,3.6928890050532305e+23,1914,0.6157322291383105,1054.7222843416619,6017.562776448912,0.5838382884913944
BTCB-USDT-500,-3,0.00023200651460831957,24,11018559.054137053,3.827082090651547e+23,1710,0.5922777889120633,771.5966253670737,5414.846948588849,0.5181950005301517
BTCB-USDT-500,-2,3.216861967250067e-05,24,2163083.416887307,3.8927579983517335e+23,271,0.5623820423994628,72.82352486366631,835.0764991281001,0.19295646839384248
BTCB-USDT-500,-1,0.0001273312718391306,24,6676034.049293043,3.734492972438153e+23,998,0.6566193077133943,461.9869574537063,3083.5835416336245,0.3838934190907888
BTCB-USDT-500,0,0.00020103963431986405,24,9748283.842983987,3.790633398045694e+23,1636,0.5336659102232487,639.9293452018396,4818.227052455395,0.48237408921322367
BTCB-USDT-500,1,0.0002486771428191037,24,11678082.569855036,3.448695472426468e+23,1921,0.6139639189510021,535.4005649898506,5145.219147570001,0.5364892982639452
BTCB-USDT-500,2,0.00024853955743459895,24,14294422.07760051,3.4865557899645955e+23,2240,0.608308866222532,1000.3111763216444,5585.379279334517,0.536340866248847
BTCB-USDT-500,3,0.0003079399009847748,24,15351028.29810774,3.8550040617260325e+23,2246,0.5927258635030201,1388.6476985894803,7662.643267726947,0.5970024475963913
BTCB-USDT-500,4,0.00018151433264733296,24,10148430.31519345,4.0493597627163797e+23,1445,0.554784338784453,348.1516598573368,4304.7218502375,0.45835142975301757
BTCB-USDT-500,5,3.581965847846465e-05,24,2823928.4068950103,3.6841859760278285e+23,413,0.39783991934462115,172.65983593561424,1072.2613659341434,0.20361222471595003
BTCB-USDT-500,6,0.0001734455731897126,24,8236286.887094957,3.973902890205942e+23,1160,0.5447645093401963,616.2557071072918,4184.028701429761,0.44804820186202843
BTCB-USDT-500,7,0.0002256181750615144,24,11247054.662731035,3.853024065101634e+23,1684,0.5379155581633455,523.6409439265644,5418.6397675187145,0.5110109069892128
BTCB-USDT-500,8,0.00013172781496672344,24,7668902.9314872185,3.895775531393784e+23,1095,0.4508818255215634,236.74209562941823,3504.2938347342897,0.3904647856133483
BTCB-USDT-500,9,0.00025864959161781605,24,21992312.012525834,3.7581020486513934e+23,2104,0.5840795999602174,3224.8710082194334,6131.653079980971,0.547140707004479
BTCB-USDT-500,10,0.0006292192086225616,24,22759318.706700914,3.17937633467629e+23,2921,0.6391390773311603,3729.869330533323,9744.17056290736,0.8533832509153081
BTCB-USDT-500,11,0.0004662713807305434,24,21641087.388794366,2.720822066142999e+23,3206,0.674247375387622,2946.7370740999495,7627.7379858447575,0.7346195953822703
BTCB-USDT-500,12,0.00013098482305653805,24,7426543.128599021,2.9536473787775663e+23,943,0.5876328250984212,515.0941629087416,2405.0510726193343,0.3893620480524337
BTCB-USDT-500,13,0.00022539924336465876,24,12516148.607149573,2.9913097570376234e+23,1710,0.601459148123049,1076.4073435604319,5039.914456460809,0.5107629135854335
BTCB-USDT-500,14,0.0006287366542627635,24,23175818.44333661,2.3849742997252997e+23,3898,0.7637349230477222,2532.037499865336,9635.388332434268,0.8530559541743277
BTCB-USDT-500,15,0.0007312549789277805,24,23876065.68551652,2.362033571535005e+23,4406,0.7068287956786895,2093.1973972803657,11033.454078317138,0.9199782221958087
BTCB-USDT-500,16,0.0005044538716052056,24,16646738.315822637,2.3179597817530945e+23,3261,0.6898231230679311,1323.092304036926,7399.595651405198,0.7641064374098743
BTCB-USDT-500,17,0.0005410663142334738,24,21861891.426423106,2.5958042015607606e+23,3752,0.6415206498677205,1616.742334013442,8785.46464377818,0.7913495814066287
BTCB-USDT-500,18,0.00044504926394044105,24,18809201.678926684,2.8960143789561743e+23,3000,0.5616239101961998,1290.5667409082182,7792.397944657126,0.7177069839049086
BTCB-USDT-500,19,0.000118204933652225,24,5477007.3424693,3.1331547743000046e+23,789,0.4596243434780745,142.38127913923006,2286.2092918027743,0.3698800694835913
BTCB-USDT-500,20,0.00030686801679414525,24,13149533.313398756,3.433991727847488e+23,2089,0.49475970630734073,712.1701681561336,5777.366838042513,0.5959625120206509
BTCB-USDT-500,21,0.0004065961481643961,24,20777174.7127069,3.338296186394914e+23,2774,0.583888793388979,1638.8310581017186,9265.198727819175,0.6860010158219825
BTCB-USDT-500,22,0.0004940191446993272,24,22459940.364913043,3.277437274895179e+23,3201,0.5656957601139138,1622.2386848755089,9940.184964001446,0.7561622957249807
BTCB-USDT-500,23,0.00036471068049403435,24,18883906.207166877,3.212328505673469e+23,2693,0.5126555282998266,2053.7541847312277,6928.736071832157,0.6497067362775236
BTCB-USDT-500,24,0.000361064952058826,24,18113473.66355907,3.196789552950441e+23,2499,0.5465719104710623,2171.9561630297612,7383.36593231301,0.6464512743185565
BTCB-USDT-500,25,0.0005731677918098927,24,22012156.87695949,2.705827520385638e+23,3574,0.6023836709887841,1691.8177893071668,9168.99233931026,0.8144867389516643
BTCB-USDT-500,26,5.2447244811251e-05,24,28059206.75909308,3.1555652192305316e+23,1387,0.6536443782573986,13766.838509422758,1126.2591001223284,0.24637944241078968
BTCB-USDT-500,27,0.00015632471401520322,24,9982922.304383814,3.371381294238668e+23,1266,0.5360501203232141,413.7762555735296,3377.7421310081636,0.42536029664513914
BTCB-USDT-500,28,0.00031978604466106507,24,19427295.27451268,4.3091342944424435e+23,2633,0.4645447763032831,929.4944713911553,8727.077942561078,0.608377133755233
BTCB-USDT-500,29,0.0002690568854335659,24,17601760.650797226,4.38910711038717e+23,2266,0.4191989106445834,873.4054811156825,7759.877664476795,0.558039812392248
ETH-USDT-500,-31,4.302996792504758e-05,1,317518.4250101333,4.344582642570155e+23,175,1.3028233409825112,43.46575827224341,175.12653471462218,1.0932871931962238
