sender,n_pre,n_post,p10_pre,p10_post,p50_pre,p50_post,d_p10_ms,d_p50_ms,mechanical_d_p10_ms,mechanical_d_p50_ms,ell_q10_pre_ms,ell_q10_post_ms,ell_q50_pre_ms,ell_q50_post_ms,p_k1_pre,p_k1_post
0x802b65b5d9016621e66003aed0b16615093f328b,285,433,393.6,263.8,1348.0,761.0,-129.8,-587.0,-75.05920764298752,-375.2960382149376,243.5347227119225,188.79393035491,597.6736135596125,385.9696517745501,0.6,0.48036951501154734
0xba53da030f3504db8cf0309bb89791950d0ce5e6,521,414,538.0,256.6,1386.0,861.5,-281.4,-524.5,-75.05920764298752,-375.2960382149376,387.9347227119225,181.59393035491001,635.6736135596125,486.4696517745501,0.5566218809980806,0.4251207729468599
0xc83c288d798cc1322be26482ab05cee5ffd6988c,93,134,686.8,363.9,1469.0,965.5,-322.9,-503.5,-75.05920764298752,-375.2960382149376,536.7347227119225,288.89393035490997,718.6736135596125,590.4696517745501,0.5161290322580645,0.373134328358209
0x4d93ce2e938724381600bc61469a6de798e87cb6,142,87,709.5,505.2,1675.5,1281.0,-204.3,-394.5,-75.05920764298752,-375.2960382149376,559.4347227119225,430.19393035491,925.1736135596125,905.9696517745501,0.4014084507042254,0.2413793103448276
0xd17f20b0c7e7294affe15b2129450dbe34d5ce1b,285,61,413.8,102.0,1691.0,413.0,-311.8,-1278.0,-75.05920764298752,-375.2960382149376,263.7347227119225,26.993930354910006,940.6736135596125,37.96965177455007,0.43859649122807015,0.7540983606557377
