sender,appearances,pools,forks,mean_share,max_share,arbs,arb_share_own,same_block,ell_q10_med,ell_q50_med
0x32564234df8961ae1d640be2cba4aeab54151551,17,4,3,0.22856374870420962,0.5849826516151102,261506,0.4215938034421771,0.039435703476209116,162.98617945095188,204.90064189797684
0xba53da030f3504db8cf0309bb89791950d0ce5e6,14,4,2,0.2113253653182911,0.3775294667763105,251124,0.30120757106348,0.00850348466618753,223.4655573604112,358.9696517745501
0xbce729580490534fdaa5a4306c49c019418e2823,4,2,1,0.44695532801601456,0.5492820569902048,245161,0.36657416824740646,0.03338966343292235,107.98617945095188,158.91576957636812
0x2fba633d7b9bfe947cfa7d2d86aef05014b41024,6,1,3,0.15045898986882264,0.2455603423068675,191605,0.23479647773119275,0.5379070457611116,142.49005490293092,217.82778680205595
0xaf30736465dec110ec6ab68d3a22e4b24968401f,12,2,3,0.20078475499853585,0.3781202627589691,124930,0.5068515660630223,0.2922902434835428,472.91432653341633,582.5716326670813
0x5efc784d444126ecc05f22c49ff3fbd7d9f4868a,7,2,2,0.18165171324949952,0.4287886170938505,102791,0.010672603502383141,0.6590291504529776,-57.06281563408763,-138.31407817043817
0x802b65b5d9016621e66003aed0b16615093f328b,15,4,3,0.11339159552717154,0.194087923193532,84743,0.174529241429293,0.3542204172745595,238.99393035491,245.67361355961248
0x4bce263371ec91da8369fb00a1f344bae2ee5cdb,4,2,1,0.14437387873877972,0.2484198626265394,71306,0.33796654984454977,0.8364593137003375,131.88315391527362,239.41576957636812
0x7cda585e917fecb3a33c6d5a8f8a15dd956694dc,6,4,1,0.12663620506798723,0.2314304075402988,60846,0.3860828252680571,0.19344241659888142,110.08315391527364,132.40064189797684
0xde9e4fe32b049f821c7f3e9802381aa470ffca73,2,1,2,0.1055603066259979,0.1427315125884352,41000,0.0301212530898975,0.7672617797111341,-43.81404646108257,-99.07023230541284
0xca852767b43a395ac1dd54737193eba5e20c78bd,3,1,2,0.06603574158321543,0.0963094733869829,38941,0.014069783563267333,0.6787106615386237,-30.01382054904812,-88.06910274524057
0x0000000055eca968153aeffa4e421f9cd2680f01,4,3,1,0.17627945291094388,0.2795420384406281,38663,0.3523471769150518,0.6798926218431534,681.6837460731018,884.918730365509
0x6777c00839fe6ccfc84f08a44704108471bb1fe4,7,3,2,0.10396302428113705,0.2004020411319004,34327,0.4474080410330391,0.006587571859186286,214.98617945095188,429.93089725475943
0x278d858f05b94576c1e6f73285886876ff6ef8d2,3,3,1,0.09973122672729419,0.1258501579821132,27092,0.16476470687776723,0.2629904832970459,173.98012837959536,202.90064189797684
0x7af9e4af669ee8a1dd25a86f65f38028fd562640,3,2,2,0.10382949631685227,0.1279379794085073,14750,0.32579452007974236,0.6139107779759649,275.3347227119225,781.6736135596125
0x4d93ce2e938724381600bc61469a6de798e87cb6,3,2,1,0.06054947465405904,0.0654264526745453,10835,0.4384140745820271,0.08239805841149754,588.9303077802913,592.6515389014562
0x3dd696bc5bf81ec3032260b981be4cb10645dac7,1,1,1,0.0482836646772854,0.0482836646772854,9773,0.0412814003489045,0.7545277806200757,-54.26281563408763,-137.31407817043817
0x13f4ea83d0bd40e75c8222255bc855a974568dd4,2,1,1,0.06208430983531155,0.0751648351648351,7746,0.14964907938923738,0.11481329672847645,380.53315391527366,462.4157695763681
0x1a0a18ac4becddbd6389559687d1a73d8927e416,1,1,1,0.0661637424401085,0.0661637424401085,6192,0.0249776121209187,0.5017764857881137,-141.56969221970877,-415.8484610985438
0x971435fc38eed5e0aaff0dd717d0d16a02a4110e,2,1,1,0.0802223588452995,0.1005571095032247,5810,0.37557556513543155,0.4195236970555818,204.71432653341625,598.8216326670813
0xbddbcbaa9cf9603b7055aad963506ede71692f12,3,1,2,0.029260743365439934,0.0428346214480716,2526,0.44331877383381313,0.2447541798642484,225.9347227119225,695.6736135596125
0x73dddbc2971865d721c5678bb2106d637d43990e,1,1,1,0.0575290550783223,0.0575290550783223,2277,0.4260056127221702,0.0144927536231884,1017.9303077802913,1391.6515389014562
