pool,metric,kline_pre,tick_pre,kline_post,tick_post
WBNB-USDT-500,swaps,1186488.0,1186488.0,4057144.0,4057144.0
WBNB-USDT-500,arb_swaps_share,0.1565772262340622,0.1565805975281671,0.0868800811605405,0.0899566295896818
WBNB-USDT-500,arb_strict_share,0.0263601486066441,0.0263542488419604,0.013340172298543,0.0126455950294098
WBNB-USDT-500,arb_volume_share,0.7210734158042827,0.7209929754378571,0.2890471925381653,0.2951857279556304
WBNB-USDT-500,arb_swaps_per_hour,258.0240092963106,258.0295648604396,489.5624055628076,506.8985133297621
WBNB-USDT-500,median_arb_size_quote,993.6745743105886,993.4795068371502,518.882095271745,518.5387932879206
WBNB-USDT-500,arb_loss_bps_of_volume,4.90962788845028,4.909641467436357,1.773684294179384,1.8056140622665624
WBNB-USDT-500,lp_net_bps_of_volume,0.0903721115497205,0.0903585325636428,3.226315705820616,3.1943859377334385
WBNB-USDT-500,arb_loss_over_fee,0.9819255776900562,0.9819282934872716,0.3547368588358767,0.3611228124533125
WBNB-USDT-500,arb_loss_per_hour_quote,698.7403721050151,698.7423130924835,679.1470087941831,691.3716355927321
WBNB-USDT-500,arb_loss_per_arb_quote,2.991179587218357,2.9910835493905568,1.4962535606845615,1.4914404738261706
WBNB-USDT-500,markout_30s_bps_of_volume,0.0625581921331613,0.0523969498818877,3.1122039430278727,3.113741033435012
WBNB-USDT-500,ref_kline_vs_tick_mean_abs_bps,,0.0005157727048817,,0.0787508589650581
WBNB-USDT-500,ref_kline_vs_tick_rms_bps,,0.0206121232360053,,0.3423286613145181
WBNB-USDT-500,cex_vol_1s_bps,0.6573999022625031,0.6573999022625031,0.5739491210884783,0.5739491210884783
ETH-USDT-500,swaps,196752.0,196752.0,306089.0,306089.0
ETH-USDT-500,arb_swaps_share,0.5184547043994471,0.518459786939904,0.5844378595767897,0.585274217629513
ETH-USDT-500,arb_strict_share,0.2012635195576156,0.2011669512889322,0.2479801626324369,0.2119906301761905
ETH-USDT-500,arb_volume_share,0.8186309783952478,0.8186253456489795,0.7929654764361357,0.7931541852929748
ETH-USDT-500,arb_swaps_per_hour,141.6766075256289,141.67799641666113,248.45828540542337,248.81384089239185
ETH-USDT-500,median_arb_size_quote,1518.2740783922186,1518.2241002742626,1403.3356212599438,1403.4856726728813
ETH-USDT-500,arb_loss_bps_of_volume,5.995746170984563,5.996073410278865,5.1390938286144,5.2716102794781134
ETH-USDT-500,lp_net_bps_of_volume,-0.995746170984564,-0.996073410278865,-0.1390938286144002,-0.2716102794781145
ETH-USDT-500,arb_loss_over_fee,1.1991492341969128,1.1992146820557732,1.02781876572288,1.0543220558956228
ETH-USDT-500,arb_loss_per_hour_quote,199.1079231140302,199.11879318182983,320.34258088735385,328.60021575756645
ETH-USDT-500,arb_loss_per_arb_quote,2.186803586234486,2.186770972461379,1.8335584859980076,1.868016606691549
ETH-USDT-500,markout_30s_bps_of_volume,-0.996664013709464,-1.029754567215819,-0.3878907577613776,-0.3929909309009149
ETH-USDT-500,ref_kline_vs_tick_mean_abs_bps,,0.0043121703619921,,0.4254955469078007
ETH-USDT-500,ref_kline_vs_tick_rms_bps,,0.1021211252234344,,1.3260263208009395
ETH-USDT-500,cex_vol_1s_bps,1.3336856807886162,1.3336856807886162,1.2329507882331847,1.2329507882331847
BTCB-USDT-500,swaps,123986.0,123986.0,129872.0,129872.0
BTCB-USDT-500,arb_swaps_share,0.6513719290887681,0.6513638636620264,0.6274331649624245,0.6416317605026488
BTCB-USDT-500,arb_strict_share,0.3301259819657058,0.3300856548319971,0.2344847234199827,0.2108922631514106
BTCB-USDT-500,arb_volume_share,0.85286352539223,0.8528311559323393,0.8339153571519894,0.8450322781740879
BTCB-USDT-500,arb_swaps_per_hour,112.16822865467384,112.1668397636416,113.174978168407,115.73608878547672
BTCB-USDT-500,median_arb_size_quote,6336.285325472015,6336.047774316807,5232.364168851268,5194.813330266579
BTCB-USDT-500,arb_loss_bps_of_volume,5.571239379144877,5.571322139021598,5.014182227544441,5.133040241232488
BTCB-USDT-500,lp_net_bps_of_volume,-0.5712393791448757,-0.5713221390215983,-0.0141822275444412,-0.1330402412324877
BTCB-USDT-500,arb_loss_over_fee,1.114247875828975,1.1142644278043197,1.0028364455088885,1.0266080482464974
BTCB-USDT-500,arb_loss_per_hour_quote,635.4782961013301,635.4877440718556,470.9332719062879,482.0935055687883
BTCB-USDT-500,arb_loss_per_arb_quote,6.168459640277101,6.168750676289801,4.575017968417153,4.610239531965311
BTCB-USDT-500,markout_30s_bps_of_volume,-0.9197779048673254,-0.9482142822659198,-0.4736314463083149,-0.4742421223243706
BTCB-USDT-500,ref_kline_vs_tick_mean_abs_bps,,0.0012920912111427,,0.1406000404449666
BTCB-USDT-500,ref_kline_vs_tick_rms_bps,,0.0434179900259147,,0.5156468092053237
BTCB-USDT-500,cex_vol_1s_bps,0.774786179743373,0.774786179743373,0.5227359305271255,0.5227359305271255
WBNB-USDT-100,swaps,1613879.0,1613879.0,4943404.0,4943404.0
WBNB-USDT-100,arb_swaps_share,0.3088267459952078,0.3088348011220172,0.2483899758142365,0.2528191100707124
WBNB-USDT-100,arb_strict_share,0.0580006307783916,0.057988238275608,0.0424606202527651,0.0409450653840956
WBNB-USDT-100,arb_volume_share,0.6532074652840697,0.6532007397817328,0.4626976751811124,0.4666836485608422
WBNB-USDT-100,arb_swaps_per_hour,692.235790487331,692.2538460707501,1705.405226580782,1735.8149429369323
WBNB-USDT-100,median_arb_size_quote,707.5202387695313,707.0995276648059,1012.208322026286,1005.340282359792
WBNB-USDT-100,arb_loss_bps_of_volume,1.0732882105025154,1.0732741114932502,0.4507646042977228,0.4713473494595837
WBNB-USDT-100,lp_net_bps_of_volume,-0.0732882105025155,-0.0732741114932499,0.5492353957022772,0.5286526505404165
WBNB-USDT-100,arb_loss_over_fee,1.0732882105025154,1.0732741114932498,0.4507646042977228,0.4713473494595837
WBNB-USDT-100,arb_loss_per_hour_quote,272.30260253211225,272.29902433191324,366.4771936595878,383.2108203164288
WBNB-USDT-100,arb_loss_per_arb_quote,1.3846587433960382,1.3846078874427834,0.6397686243255696,0.6425031427203153
WBNB-USDT-100,markout_30s_bps_of_volume,-0.1982399689103635,-0.2044038997541523,0.4235437924811976,0.4222586951349844
WBNB-USDT-100,ref_kline_vs_tick_mean_abs_bps,,0.0004903965640699,,0.0738345358971862
WBNB-USDT-100,ref_kline_vs_tick_rms_bps,,0.0187275469341982,,0.3308452346151612
WBNB-USDT-100,cex_vol_1s_bps,0.6573999022625031,0.6573999022625031,0.5739491210884783,0.5739491210884783
USDC-USDT-100,swaps,106701.0,106701.0,597542.0,597542.0
USDC-USDT-100,arb_swaps_share,0.2400727265911285,0.2401102145246998,0.1509734880560697,0.1509985908940292
USDC-USDT-100,arb_strict_share,0.0002624155349996,0.0002811595017853,6.526737869471937e-05,5.355272098028256e-05
USDC-USDT-100,arb_volume_share,0.396363736775835,0.3966438134417548,0.1937170512509516,0.1950833778151869
