窗口,控制,被解释变量,kline,_b_kline,_se_kline,_n_kline,tick,_b_tick,_se_tick,_n_tick,差（tick−kline）,Δt 弹性 kline,Δt 弹性 tick,_preslope_kline,_preslope_se_kline,_preslope_tick,_preslope_se_tick
±30 d,σ,log 越界幅度（严格）,-0.610*** (0.026),-0.6097699540947388,0.026037308837089386,4322,-0.585*** (0.026),-0.5846555662020729,0.025591699948637876,4322,+0.025,0.88,0.84,,,,
±30 d,σ,log 越界幅度（全部）,-0.372*** (0.024),-0.37161868308980334,0.023614537972458216,4322,-0.312*** (0.023),-0.3116725867855623,0.022565473367211968,4322,+0.060,0.54,0.45,,,,
±30 d,σ,log 套利者利润,+0.133*** (0.031),0.13332022390777742,0.030642695596603608,4316,+0.236*** (0.031),0.2359130770297281,0.030556156049301623,4314,+0.103,-0.19,-0.34,,,,
±30 d,σ,log 单笔 LP 损失,-0.218*** (0.029),-0.21777246353921215,0.02906741746776088,4322,-0.208*** (0.029),-0.20821219929160323,0.028974744347497843,4322,+0.010,,,,,,
±30 d,σ,log LP 损失（总）,+0.332*** (0.029),0.3323878213811104,0.02945011238225538,4322,+0.353*** (0.030),0.35302456544931154,0.02962608664073772,4322,+0.021,,,,,,
±30 d,σ,log 套利笔数,+0.505*** (0.037),0.505297357652542,0.036999522546895446,4322,+0.526*** (0.037),0.5262289929509416,0.0369833859953405,4322,+0.021,,,,,,
±30 d,σ+L+vol,log 越界幅度（严格）,-0.502*** (0.035),-0.5024144807315029,0.035075926622386025,4322,-0.472*** (0.034),-0.47239918046621165,0.03409577624773482,4322,+0.030,0.72,0.68,,,,
±30 d,σ+L+vol,log 越界幅度（全部）,-0.339*** (0.028),-0.33929054586195817,0.028480833390946036,4322,-0.280*** (0.027),-0.27964566433222154,0.027221273454423007,4322,+0.060,0.49,0.40,,,,
±30 d,σ+L+vol,log 套利者利润,-0.413*** (0.038),-0.4128760034941207,0.03842705803206864,4316,-0.306*** (0.038),-0.3059600059340124,0.03837338070573801,4314,+0.107,0.60,0.44,,,,
±30 d,σ+L+vol,log 单笔 LP 损失,-0.360*** (0.032),-0.35997612019072484,0.032215398740746505,4322,-0.351*** (0.032),-0.3505482500927157,0.032150479508185906,4322,+0.009,,,,,,
±30 d,σ+L+vol,log LP 损失（总）,-0.030** (0.015),-0.030254957868782753,0.014745549015185067,4322,-0.011 (0.015),-0.01077802790073452,0.014899335394544208,4322,+0.019,,,,,,
±30 d,σ+L+vol,log 套利笔数,+0.142*** (0.030),0.14186447965352922,0.030319692355674544,4322,+0.163*** (0.030),0.16343493261619058,0.029985383235053453,4322,+0.022,,,,,,
