hour,n_blocks,interval_ms,n_intervals,n_headers,gas_used,gas_limit
2025-12-17 15:00:00+00:00,4798,750.2188411838266,4798,41,33735107.65853658,100209945.26829268
2025-12-17 16:00:00+00:00,4800,750.0,4800,12,21954182.833333332,100130366.25
2025-12-17 17:00:00+00:00,4799,750.1667013961242,4799,41,14717726.634146342,100214907.04878049
2025-12-17 18:00:00+00:00,4800,750.0,4800,12,12512123.25,100278317.75
2025-12-17 19:00:00+00:00,4800,750.0,4800,12,13023699.0,99780760.16666667
2025-12-17 20:00:00+00:00,4800,750.0,4800,12,10570469.0,100252999.66666667
2025-12-17 21:00:00+00:00,4800,750.0,4800,12,12903050.666666666,100278254.08333333
2025-12-17 22:00:00+00:00,4800,750.0,4800,12,12183119.0,99902503.5
2025-12-17 23:00:00+00:00,4800,750.0,4800,12,13259976.25,99894484.91666667
2025-12-18 00:00:00+00:00,4800,750.0,4800,12,14157957.416666666,100254070.75
2025-12-18 01:00:00+00:00,4800,750.0,4800,12,15330830.583333334,100262153.08333333
2025-12-18 02:00:00+00:00,4800,750.0,4800,12,21637658.75,99895200.08333333
2025-12-18 03:00:00+00:00,4799,750.1667013961242,4799,41,20930440.14634146,100200478.80487806
2025-12-18 04:00:00+00:00,4800,750.0,4800,12,19205302.916666668,99999825.25
2025-12-18 05:00:00+00:00,4799,750.1875390706398,4799,41,20312329.31707317,100071650.58536585
2025-12-18 06:00:00+00:00,4797,750.479466333125,4797,122,21603527.901639346,100049256.59836066
2025-12-18 07:00:00+00:00,4800,750.0,4800,12,21335534.0,100244917.33333333
2025-12-18 08:00:00+00:00,4800,750.0,4800,12,18325713.916666668,100138623.33333333
2025-12-18 09:00:00+00:00,4798,750.3126302626094,4798,69,21271345.855072465,100205912.8405797
2025-12-18 10:00:00+00:00,4800,750.0,4800,12,24253670.333333332,99999761.5
2025-12-18 11:00:00+00:00,4797,750.5107358765895,4797,70,24125863.114285715,100277142.78571428
2025-12-18 12:00:00+00:00,4800,750.0,4800,12,25016991.75,100122458.66666667
2025-12-18 13:00:00+00:00,4800,750.0,4800,12,28222123.583333332,100261017.58333333
2025-12-18 14:00:00+00:00,4799,750.0520941862889,4799,41,25319929.219512194,100143156.34146342
2025-12-18 15:00:00+00:00,4800,750.1145833333334,4800,41,26321542.390243903,100205392.0
2025-12-18 16:00:00+00:00,4798,750.1979991663193,4798,41,23164614.68292683,100071648.24390244
2025-12-18 17:00:00+00:00,4800,750.0,4800,12,20458151.416666668,100016164.66666667
2025-12-18 18:00:00+00:00,4800,750.0,4800,12,13712068.166666666,100261064.58333333
2025-12-18 19:00:00+00:00,4800,750.0,4800,12,14679695.25,100131319.91666667
2025-12-18 20:00:00+00:00,4800,750.0,4800,12,9383120.833333334,100130366.25
2025-12-18 21:00:00+00:00,4800,750.0,4800,12,9649595.5,100146816.0
2025-12-18 22:00:00+00:00,4800,750.09375,4800,41,11449386.634146342,100157526.63414635
2025-12-18 23:00:00+00:00,4800,750.0,4800,12,12138950.0,100138257.5
2025-12-19 00:00:00+00:00,4800,750.0,4800,12,13827525.833333334,100146752.25
2025-12-19 01:00:00+00:00,4799,750.0625130235467,4799,93,15609062.494623655,100096736.30107526
2025-12-19 02:00:00+00:00,4798,750.3334722801167,4798,70,19417127.385714285,100031189.14285715
2025-12-19 03:00:00+00:00,4800,750.0,4800,12,19480068.916666668,100122283.91666667
2025-12-19 04:00:00+00:00,4800,750.0,4800,12,18784134.833333332,100122458.66666667
2025-12-19 05:00:00+00:00,4800,750.0,4800,12,17817498.916666668,100252935.91666667
2025-12-19 06:00:00+00:00,4800,750.0104166666666,4800,41,19967025.585365854,100174546.95121951
2025-12-19 07:00:00+00:00,4800,750.0,4800,12,26377832.75,100130477.25
2025-12-19 08:00:00+00:00,4800,750.0,4800,12,22397656.583333332,100244917.33333333
2025-12-19 09:00:00+00:00,4798,750.3022092538557,4798,41,35205740.36585366,100145587.29268293
2025-12-19 10:00:00+00:00,4800,750.0,4800,12,20740720.833333332,100016943.58333333
2025-12-19 11:00:00+00:00,4800,750.0,4800,12,39522634.25,100114201.58333333
2025-12-19 12:00:00+00:00,4800,750.0,4800,12,22116113.0,100375458.33333333
2025-12-19 13:00:00+00:00,4800,750.0,4800,12,21115008.833333332,100269036.25
2025-12-19 14:00:00+00:00,4799,750.1562825588665,4799,41,21419461.12195122,100140883.92682926
2025-12-19 15:00:00+00:00,4800,750.0,4800,12,20796688.416666668,100367376.0
2025-12-19 16:00:00+00:00,4800,750.0,4800,12,20448186.333333332,100154770.58333333
2025-12-19 17:00:00+00:00,4800,750.0,4800,12,16115985.833333334,100375458.33333333
2025-12-19 18:00:00+00:00,4800,750.0,4800,12,11494637.166666666,100138558.91666667
2025-12-19 19:00:00+00:00,4800,750.0,4800,12,14968759.583333334,100236660.25
2025-12-19 20:00:00+00:00,4800,750.0,4800,12,10979870.666666666,100147594.91666667
2025-12-19 21:00:00+00:00,4800,750.0,4800,12,11143798.083333334,100000000.0
2025-12-19 22:00:00+00:00,4800,750.0,4800,12,11029662.0,100123237.58333333
2025-12-19 23:00:00+00:00,4800,750.0416666666666,4800,41,15359029.609756097,100202811.58536585
2025-12-20 00:00:00+00:00,4800,750.0,4800,12,14585158.25,100122283.91666667
2025-12-20 01:00:00+00:00,4799,750.1667013961242,4799,41,15958991.170731707,100150316.0
2025-12-20 02:00:00+00:00,4800,750.0,4800,12,16243404.833333334,100008861.25
2025-12-20 03:00:00+00:00,4800,750.0,4800,12,18289149.083333332,100253586.41666667
2025-12-20 04:00:00+00:00,4800,750.0,4800,12,15883522.25,100000000.0
2025-12-20 05:00:00+00:00,4800,750.0,4800,12,18307616.75,100130477.25
2025-12-20 06:00:00+00:00,4800,750.0208333333334,4800,44,19149245.522727273,100009009.75
2025-12-20 07:00:00+00:00,4799,750.1250260470931,4799,38,24371590.47368421,99992528.63157895
2025-12-20 08:00:00+00:00,4800,750.0,4800,12,20814305.833333332,100130541.0
2025-12-20 09:00:00+00:00,4799,750.218795582413,4799,41,19379177.707317073,100095545.65853658
2025-12-20 10:00:00+00:00,4800,750.0,4800,12,16746706.833333334,100139337.83333333
2025-12-20 11:00:00+00:00,4800,750.0,4800,12,18287807.0,100122458.66666667
2025-12-20 12:00:00+00:00,4800,750.0,4800,12,22310004.583333332,100154898.33333333
2025-12-20 13:00:00+00:00,4800,750.0,4800,12,20964082.666666668,100016879.83333333
2025-12-20 14:00:00+00:00,4800,750.0,4800,12,21790584.416666668,100122458.66666667
2025-12-20 15:00:00+00:00,4799,750.0937695353198,4799,41,18829100.390243903,99964840.3902439
2025-12-20 16:00:00+00:00,4800,750.0,4800,12,18251419.166666668,100008082.33333333
2025-12-20 17:00:00+00:00,4800,750.0,4800,12,17417080.583333332,99894357.58333333
2025-12-20 18:00:00+00:00,4800,750.0,4800,12,15308302.333333334,100008082.33333333
2025-12-20 19:00:00+00:00,4800,750.0,4800,12,12457621.416666666,100244917.33333333
2025-12-20 20:00:00+00:00,4800,750.0,4800,12,11653077.166666666,99756640.5
2025-12-20 21:00:00+00:00,4800,750.0520833333333,4800,41,11884420.658536585,100030917.31707317
2025-12-20 22:00:00+00:00,4800,750.0,4800,12,8972706.25,99999825.25
2025-12-20 23:00:00+00:00,4800,750.0,4800,12,11305699.25,100244917.33333333
2025-12-21 00:00:00+00:00,4800,750.0,4800,12,14411620.0,100122045.41666667
2025-12-21 01:00:00+00:00,4800,750.0,4800,12,15305217.666666666,100008082.33333333
2025-12-21 02:00:00+00:00,4799,750.0312565117732,4799,41,16935162.609756097,100148445.34146342
2025-12-21 03:00:00+00:00,4800,750.0,4800,12,14242507.083333334,100130302.5
2025-12-21 04:00:00+00:00,4792,751.31469115192,4792,123,16925850.268292684,100110612.45528455
2025-12-21 05:00:00+00:00,4800,750.0,4800,12,15200211.916666666,100254070.75
2025-12-21 06:00:00+00:00,4799,750.1250260470931,4799,41,18557509.926829267,100097869.24390244
2025-12-21 07:00:00+00:00,4800,750.0,4800,12,17299767.666666668,100629529.08333333
2025-12-21 08:00:00+00:00,4799,750.1875390706398,4799,41,18674153.073170733,100143371.51219513
2025-12-21 09:00:00+00:00,4800,750.0,4800,12,22217934.083333332,100016164.66666667
2025-12-21 10:00:00+00:00,4799,750.1875390706398,4799,41,23629125.80487805,100220214.41463415
2025-12-21 11:00:00+00:00,4800,750.0,4800,12,17220624.0,100138623.33333333
2025-12-21 12:00:00+00:00,4800,750.0,4800,12,20966370.666666668,100253767.25
2025-12-21 13:00:00+00:00,4800,750.0,4800,12,26147267.583333332,100376400.66666667
2025-12-21 14:00:00+00:00,4799,750.0937695353198,4799,70,20497316.542857144,100139736.14285715
2025-12-21 15:00:00+00:00,4800,750.0104166666666,4800,41,19639307.68292683,100021359.73170732
2025-12-21 16:00:00+00:00,4799,750.1667013961242,4799,41,23895367.243902437,100207589.34146342
2025-12-21 17:00:00+00:00,4800,750.0,4800,12,16062396.583333334,99894246.41666667
2025-12-21 18:00:00+00:00,4800,750.0729166666666,4800,41,14976246.658536585,100224269.19512194
2025-12-21 19:00:00+00:00,4800,750.0,4800,12,11427949.083333334,100367376.0
2025-12-21 20:00:00+00:00,4798,750.2709462275948,4798,122,13914151.459016394,100141304.9590164
2025-12-21 21:00:00+00:00,4800,750.0,4800,12,13362212.75,100269274.66666667
2025-12-21 22:00:00+00:00,4798,750.3438932888704,4798,41,15478370.853658536,100171873.80487806
2025-12-21 23:00:00+00:00,4800,750.0,4800,12,13796640.166666666,100376529.41666667
2025-12-22 00:00:00+00:00,4800,750.0,4800,12,16448462.0,100377308.33333333
2025-12-22 01:00:00+00:00,4800,750.0,4800,12,18326387.666666668,100016037.33333333
2025-12-22 02:00:00+00:00,4799,750.1354448843509,4799,41,18141208.80487805,100217274.92682926
2025-12-22 03:00:00+00:00,4800,750.0,4800,12,17124269.0,99886402.58333333
2025-12-22 04:00:00+00:00,4799,750.1771202333819,4799,41,20119493.80487805,100236343.41463415
2025-12-22 05:00:00+00:00,4800,750.0,4800,12,21371458.083333332,100138733.66666667
2025-12-22 06:00:00+00:00,4800,750.0,4800,12,23162793.0,100384483.0
2025-12-22 07:00:00+00:00,4797,750.4273504273505,4797,70,25360717.62857143,100215436.65714286
2025-12-22 08:00:00+00:00,4799,750.2083767451553,4799,70,25191459.57142857,100121825.72857143
2025-12-22 09:00:00+00:00,4800,750.0,4800,12,25161791.916666668,99894484.91666667
2025-12-22 10:00:00+00:00,4800,750.0,4800,12,23250698.833333332,100376529.41666667
2025-12-22 11:00:00+00:00,4799,750.0625130235467,4799,41,24507920.707317073,100023990.24390244
2025-12-22 12:00:00+00:00,4800,750.0,4800,12,24046334.916666668,100008082.33333333
2025-12-22 13:00:00+00:00,4800,750.0104166666666,4800,43,24806484.30232558,100259682.18604651
2025-12-22 14:00:00+00:00,4799,750.1979579078975,4799,39,28422997.307692308,100553831.12820514
2025-12-22 15:00:00+00:00,4799,750.1458637216086,4799,64,24104180.953125,99920944.4375
2025-12-22 16:00:00+00:00,4800,750.0,4800,12,21100256.75,99999825.25
2025-12-22 17:00:00+00:00,4800,750.0729166666666,4800,41,15633041.487804879,100291326.17073171
2025-12-22 18:00:00+00:00,4800,750.0,4800,12,12673695.25,100236660.25
2025-12-22 19:00:00+00:00,4798,750.2188411838266,4798,41,13062522.68292683,100023897.58536585
2025-12-22 20:00:00+00:00,4800,750.0,4800,12,13952358.583333334,100146816.0
2025-12-22 21:00:00+00:00,4800,750.0,4800,12,15256201.333333334,100131256.16666667
2025-12-22 22:00:00+00:00,4800,750.0520833333333,4800,41,11755646.585365854,100116769.7804878
2025-12-22 23:00:00+00:00,4800,750.0,4800,12,11791676.5,100000604.16666667
2025-12-23 00:00:00+00:00,4800,750.0,4800,12,17673424.833333332,100139512.58333333
2025-12-23 01:00:00+00:00,4800,750.0,4800,12,17497374.833333332,100277293.25
2025-12-23 02:00:00+00:00,4800,750.0,4800,12,18651449.416666668,100008082.33333333
2025-12-23 03:00:00+00:00,4800,750.0104166666666,4800,41,20014218.731707316,100279623.2195122
2025-12-23 04:00:00+00:00,4800,750.0,4800,12,18996260.0,100024247.0
2025-12-23 05:00:00+00:00,4800,750.0,4800,12,22142174.75,100130541.0
2025-12-23 06:00:00+00:00,4800,750.0,4800,12,19948917.583333332,100367376.0
2025-12-23 07:00:00+00:00,4798,750.3334722801167,4798,70,21578787.27142857,100040506.2
2025-12-23 08:00:00+00:00,4798,750.2084201750729,4798,41,21987287.56097561,100205181.97560975
2025-12-23 09:00:00+00:00,4800,750.0,4800,12,22782793.5,100367376.0
2025-12-23 10:00:00+00:00,4800,750.0,4800,12,18142951.416666668,100383523.25
2025-12-23 11:00:00+00:00,4800,750.0,4800,12,20720588.0,100024961.5
2025-12-23 12:00:00+00:00,4800,750.0,4800,12,22132604.333333332,100122283.91666667
2025-12-23 13:00:00+00:00,4800,750.0,4800,12,28231168.166666668,100016037.33333333
2025-12-23 14:00:00+00:00,4800,750.0,4800,12,21904692.166666668,100252999.66666667
2025-12-23 15:00:00+00:00,4799,750.1875390706398,4799,41,21408855.097560976,100107696.04878049
2025-12-23 16:00:00+00:00,4800,750.0208333333334,4800,41,20140950.902439024,100066821.68292683
2025-12-23 17:00:00+00:00,4800,750.0,4800,12,13089062.0,100752930.08333333
2025-12-23 18:00:00+00:00,4800,750.0208333333334,4800,41,11400568.609756097,99908006.31707317
2025-12-23 19:00:00+00:00,4800,750.0,4800,12,12163027.5,100122283.91666667
2025-12-23 20:00:00+00:00,4799,750.1667013961242,4799,41,9346097.24390244,100183986.3902439
2025-12-23 21:00:00+00:00,4800,750.0,4800,12,11711937.5,100269146.91666667
2025-12-23 22:00:00+00:00,4799,750.1771202333819,4799,64,9933197.859375,100261646.28125
2025-12-23 23:00:00+00:00,4800,750.0,4800,12,11217191.25,100130412.83333333
2025-12-24 00:00:00+00:00,4800,750.0,4800,12,11059667.166666666,100367376.0
2025-12-24 01:00:00+00:00,4799,750.0833506980621,4799,65,21489367.246153846,100517210.4
2025-12-24 02:00:00+00:00,4786,752.2043460091935,4786,66,24472844.060606062,100149763.04545455
2025-12-24 03:00:00+00:00,4799,750.2083767451553,4799,70,19656889.942857143,100142574.12857144
2025-12-24 04:00:00+00:00,4798,750.1875781575657,4798,41,18463526.56097561,100021399.29268293
2025-12-24 05:00:00+00:00,4798,750.3751563151313,4798,41,27096547.024390243,99857670.31707317
2025-12-24 06:00:00+00:00,4800,750.0208333333334,4800,41,24070146.268292684,100157710.51219513
2025-12-24 07:00:00+00:00,4799,750.1667013961242,4799,41,20101332.243902437,100014230.51219513
2025-12-24 08:00:00+00:00,4787,752.0367662419052,4787,181,21846008.73480663,100100757.45303868
2025-12-24 09:00:00+00:00,4799,750.1771202333819,4799,41,19912477.902439024,100062011.48780487
2025-12-24 10:00:00+00:00,4799,750.1562825588665,4799,41,19022955.19512195,99983387.75609756
2025-12-24 11:00:00+00:00,4800,750.0104166666666,4800,41,21095913.756097563,100014498.02439025
2025-12-24 12:00:00+00:00,4800,750.0,4800,12,26798998.666666668,100252935.25
2025-12-24 13:00:00+00:00,4799,750.1354448843509,4799,41,22026114.463414636,100073976.48780487
2025-12-24 14:00:00+00:00,4800,750.0,4800,12,21426486.333333332,100489834.66666667
2025-12-24 15:00:00+00:00,4800,750.0,4800,12,20043082.916666668,100130302.5
2025-12-24 16:00:00+00:00,4800,750.0,4800,12,20065953.333333332,100023944.91666667
2025-12-24 17:00:00+00:00,4800,750.0,4800,12,16022845.0,100261192.33333333
2025-12-24 18:00:00+00:00,4800,750.0,4800,12,11700438.0,100008082.33333333
2025-12-24 19:00:00+00:00,4800,750.0,4800,12,9208407.083333334,100131319.91666667
2025-12-24 20:00:00+00:00,4800,750.0,4800,12,9350846.583333334,100016164.66666667
2025-12-24 21:00:00+00:00,4800,750.0,4800,13,9841736.76923077,100354139.38461539
2025-12-24 22:00:00+00:00,4796,750.5212677231026,4796,40,14902767.05,100071143.4
2025-12-24 23:00:00+00:00,4800,750.0,4800,12,11601166.583333334,100130541.0
2025-12-25 00:00:00+00:00,4800,750.0,4800,12,13297460.083333334,99991742.91666667
2025-12-25 01:00:00+00:00,4800,750.0,4800,12,14541491.25,100122283.91666667
2025-12-25 02:00:00+00:00,4800,750.0729166666666,4800,41,19020054.17073171,100126525.63414635
2025-12-25 03:00:00+00:00,4800,750.0,4800,12,16390939.833333334,100138623.33333333
2025-12-25 04:00:00+00:00,4800,750.0,4800,12,16593954.083333334,100130541.0
2025-12-25 05:00:00+00:00,4800,750.0,4800,12,17781019.166666668,100123237.58333333
2025-12-25 06:00:00+00:00,4799,750.1875390706398,4799,41,17521774.073170733,100119404.09756097
2025-12-25 07:00:00+00:00,4800,750.0208333333334,4800,41,20109707.56097561,100564723.82926829
