窗口,被解释变量,跳跃（post）,分叉前斜率（/天）,斜率变化,n
±30 d,log 越界幅度（严格）,-0.114*** (0.037),-0.004** (0.002),+0.005** (0.002),4310
±30 d,log 套利者利润,-0.137** (0.065),-0.005 (0.003),+0.008* (0.005),4270
±30 d,log 单笔 LP 损失,-0.064 (0.044),-0.005** (0.002),+0.000 (0.003),4314
±30 d,log LP 损失（总）,+0.030* (0.018),+0.000 (0.001),-0.004*** (0.001),4318
±14 d,log 越界幅度（严格）,-0.013 (0.045),-0.012*** (0.004),+0.007 (0.006),2006
±14 d,log 套利者利润,-0.073 (0.068),+0.001 (0.007),-0.005 (0.010),1983
±14 d,log 单笔 LP 损失,-0.004 (0.057),-0.004 (0.003),-0.005 (0.006),2009
±14 d,log LP 损失（总）,+0.017 (0.028),-0.002 (0.002),+0.002 (0.003),2014
