pool,dayrel,rv,hours,volume,liq,n_arb,over,profit,loss,sigma_bps
BTCB-USDT-500,-31,2.8490161619677506e-06,1,161525.71819600163,2.6598586046680395e+23,24,1.307889117153076,8.253627164677354,77.86742627768379,0.2813171481307841
BTCB-USDT-500,-30,0.0005151835785139123,24,13874299.790617501,2.59193871261337e+23,1855,1.3514908271959347,1387.2887407547207,7106.5376109122535,0.772189931264749
BTCB-USDT-500,-29,0.0007800899993892677,24,20749088.862850748,2.6603099009826725e+23,2477,1.5043704314390565,2268.277077843752,11014.291607218422,0.9502010017557223
BTCB-USDT-500,-28,0.0006615838006167728,24,22209763.51747247,2.739817140187132e+23,2427,1.4569735622164062,2696.6435801543143,9716.340446862736,0.8750554219331471
BTCB-USDT-500,-27,0.0017348542590543065,24,47003741.840114065,2.9103840920780186e+23,4011,1.6888777707122677,9031.676674046214,27468.940705270754,1.417015585730003
BTCB-USDT-500,-26,0.0009136687752268308,24,24579565.209085714,2.8149971970079517e+23,2820,1.4445652323928482,2869.8583776562114,13155.522065916904,1.028341873291362
BTCB-USDT-500,-25,0.001314874445338584,24,46658856.46708563,3.216421677787433e+23,3997,1.6097683491309513,8075.469165372919,25561.937771363966,1.2336309913607
BTCB-USDT-500,-24,0.00023122330640757042,24,7687696.624733347,3.054470259251066e+23,996,1.1183476775797039,419.9000995549909,3693.1367705185216,0.5173195990887594
BTCB-USDT-500,-23,0.0019638497870229595,24,54070251.2383079,2.5566344079002148e+23,4722,1.8658205679328697,12679.06549718261,24350.679516643842,1.5076386472015875
BTCB-USDT-500,-22,0.0038784610865204476,24,80102290.59726636,2.410253238366029e+23,6757,2.203244672872507,23702.561318252494,52484.66376391993,2.118716496107997
BTCB-USDT-500,-21,0.0019960553449140245,24,57048506.2236457,3.101957104979001e+23,5053,1.8439973910029632,9423.998384132256,34884.74101548146,1.519950407677382
BTCB-USDT-500,-20,0.002429171939698296,24,80732455.99202901,3.202760410739139e+23,5573,1.936559059443029,22901.839543475046,48922.53154523135,1.6767652181724868
BTCB-USDT-500,-19,0.0013474727379333053,24,37931286.58638819,3.0499621816698625e+23,3987,1.5065879462306793,6005.323619151763,22420.41524353506,1.2488294231653687
BTCB-USDT-500,-18,0.0010529295648820745,24,27372431.083119284,2.7990529525147074e+23,3118,1.5261314895469054,4379.3475827704815,15676.033383193731,1.103933185420554
BTCB-USDT-500,-17,0.0006025305501570961,24,20102559.05084704,2.901837768147096e+23,2293,1.427503313183367,2498.7281109175788,9479.68042451433,0.8350888108106129
BTCB-USDT-500,-16,0.0010114055916144722,24,27205720.89604698,2.8995330177684165e+23,2905,1.487656934681329,4126.328250161298,15024.565919266593,1.0819465437940368
BTCB-USDT-500,-15,0.0008551305858711713,24,25192755.91033124,2.9819016203408483e+23,2894,1.4232039817067452,3047.5255415897964,13063.228029193022,0.9948539965180467
BTCB-USDT-500,-14,0.0005725535716587936,24,19302410.564727362,3.2641944808061486e+23,2249,1.2572667982019747,2209.9724377179714,10586.189199201293,0.8140502103528109
BTCB-USDT-500,-13,0.0006352937717251562,24,21972355.63428281,3.222174360582901e+23,2391,1.1936181385704616,2521.7194503079377,12093.460820503775,0.8574926922571914
BTCB-USDT-500,-12,0.00035180652966630075,24,13271705.93573231,3.276865437332978e+23,1417,1.1164058205661371,1562.127760544555,6119.470916105314,0.6381093036542175
