窗口,被解释变量,跳跃（post）,分叉前斜率（/天）,斜率变化,n
±30 d,log 越界幅度（严格）,-0.292*** (0.036),-0.003*** (0.001),-0.006*** (0.002),4322
±30 d,log 套利者利润,-0.245*** (0.056),+0.002 (0.002),-0.008** (0.003),4314
±30 d,log 单笔 LP 损失,-0.187*** (0.051),-0.010*** (0.002),+0.009*** (0.003),4322
±30 d,log LP 损失（总）,-0.066*** (0.020),+0.001 (0.001),+0.003** (0.001),4322
±14 d,log 越界幅度（严格）,-0.185*** (0.044),-0.010*** (0.003),-0.005 (0.006),2015
±14 d,log 套利者利润,-0.169** (0.075),+0.006 (0.006),-0.031** (0.013),2013
±14 d,log 单笔 LP 损失,-0.014 (0.059),-0.020*** (0.003),-0.002 (0.008),2015
±14 d,log LP 损失（总）,-0.093*** (0.022),+0.002 (0.002),+0.006 (0.004),2016
