sender,appearances,pools,forks,mean_share,max_share,arbs,arb_share_own,same_block,ell_q10_med,ell_q50_med
0x32564234df8961ae1d640be2cba4aeab54151551,21,4,3,0.20916407910282947,0.5928484758437956,282486,0.3842155426561287,0.051713005238593075,175.19393035491004,204.90064189797684
0xba53da030f3504db8cf0309bb89791950d0ce5e6,14,4,2,0.26116781890924917,0.4498945448326968,251124,0.30120757106348,0.00850348466618753,223.4655573604112,358.9696517745501
0xbce729580490534fdaa5a4306c49c019418e2823,4,2,1,0.4924187242259149,0.6135268703571317,245161,0.36657416824740646,0.03338966343292235,107.98617945095188,158.91576957636812
0x2fba633d7b9bfe947cfa7d2d86aef05014b41024,6,1,3,0.1907050389312186,0.2638575667655786,191605,0.23479647773119275,0.5379070457611116,142.49005490293092,217.82778680205595
0xaf30736465dec110ec6ab68d3a22e4b24968401f,12,2,3,0.2052268823200489,0.3929218409514558,124930,0.5068515660630223,0.2922902434835428,472.91432653341633,582.5716326670813
0x802b65b5d9016621e66003aed0b16615093f328b,18,4,3,0.12215396570964243,0.2016855260048833,110936,0.17311510774852373,0.37299413965183453,282.08595353891747,249.82163266708127
0x4bce263371ec91da8369fb00a1f344bae2ee5cdb,4,2,1,0.14828045392056602,0.2514128211351107,71306,0.33796654984454977,0.8364593137003375,131.88315391527362,239.41576957636812
0x7cda585e917fecb3a33c6d5a8f8a15dd956694dc,7,4,1,0.11539362961763752,0.2367231793158226,61705,0.3843518563246696,0.23366077085492012,99.98617945095188,101.90064189797684
0x6777c00839fe6ccfc84f08a44704108471bb1fe4,10,4,2,0.08803208382454071,0.2051931602279924,52837,0.39677275722296146,0.02847048543356534,204.49393035491,397.2002745146548
0x0000000055eca968153aeffa4e421f9cd2680f01,5,3,1,0.2040652252843121,0.3650296500459367,48081,0.33571949776346155,0.6999344839684705,532.9371843659123,833.6859218295618
0x278d858f05b94576c1e6f73285886876ff6ef8d2,3,3,1,0.10386415359360428,0.1287283284489606,27092,0.16476470687776723,0.2629904832970459,173.98012837959536,202.90064189797684
0x7af9e4af669ee8a1dd25a86f65f38028fd562640,5,3,2,0.10649711892966027,0.2005271955767005,23076,0.28070263857779076,0.6718224553945485,201.23718436591238,538.6859218295618
0x4d93ce2e938724381600bc61469a6de798e87cb6,3,2,1,0.0910737565223198,0.1080192556064341,10835,0.4384140745820271,0.08239805841149754,588.9303077802913,592.6515389014562
0x3dd696bc5bf81ec3032260b981be4cb10645dac7,1,1,1,0.0699685703444375,0.0699685703444375,9773,0.0412814003489045,0.7545277806200757,-54.26281563408763,-137.31407817043817
0x971435fc38eed5e0aaff0dd717d0d16a02a4110e,2,1,1,0.10892380229138615,0.1239810750726785,5810,0.37557556513543155,0.4195236970555818,204.71432653341625,598.8216326670813
0x73dddbc2971865d721c5678bb2106d637d43990e,2,2,1,0.06457272119289235,0.0693644032406247,3938,0.40772730811958446,0.0626346971005767,754.9303077802913,907.1515389014562
0xbddbcbaa9cf9603b7055aad963506ede71692f12,3,1,2,0.029966119479974268,0.0439378401830086,2526,0.44331877383381313,0.2447541798642484,225.9347227119225,695.6736135596125
