窗口,被解释变量,跳跃（post）,分叉前斜率（/天）,斜率变化,n
±30 d,log 越界幅度（严格）,-0.196*** (0.039),-0.004** (0.002),+0.004 (0.002),4304
±30 d,log 套利者利润,-0.476*** (0.114),+0.000 (0.004),+0.001 (0.007),4107
±30 d,log 单笔 LP 损失,-0.113** (0.044),-0.006** (0.002),+0.001 (0.003),4309
±30 d,log LP 损失（总）,+0.011 (0.020),+0.000 (0.001),-0.006*** (0.002),4318
±14 d,log 越界幅度（严格）,-0.141*** (0.040),-0.015*** (0.004),+0.018*** (0.006),2002
±14 d,log 套利者利润,-0.319** (0.135),-0.002 (0.012),-0.007 (0.018),1874
±14 d,log 单笔 LP 损失,-0.067 (0.058),-0.005 (0.004),-0.001 (0.006),2005
±14 d,log LP 损失（总）,-0.026 (0.032),-0.002 (0.003),+0.001 (0.004),2014
