pool,dayrel,rv,hours,volume,liq,n_arb,over,profit,loss,sigma_bps
BTCB-USDT-500,-31,2.8490161619677506e-06,1,161525.71819600163,2.6598586046680395e+23,24,1.307889117153076,8.253627164677354,77.86742627768379,0.2813171481307841
BTCB-USDT-500,-30,0.0005151947471729364,24,13874299.87174632,2.59193871261337e+23,1855,1.3514518534503386,1387.2346626640272,7106.451565810221,0.7721983013678178
BTCB-USDT-500,-29,0.0007795045180897313,24,20749088.848604288,2.6603099009826725e+23,2477,1.5040085339748854,2267.4372600724228,11013.527833228698,0.9498443574315723
BTCB-USDT-500,-28,0.0006616051573004668,24,22209763.49698727,2.739817140187132e+23,2427,1.4569553664717387,2696.5740655496006,9716.293236469177,0.8750695457153695
BTCB-USDT-500,-27,0.0017349386187584803,24,47003743.90842518,2.9103840920780186e+23,4011,1.6886286121720528,9028.63280342961,27468.969760523963,1.4170500374892345
BTCB-USDT-500,-26,0.00091391041260183,24,24579566.07782685,2.8149971970079517e+23,2820,1.4445319453994048,2868.71184196216,13154.267089552819,1.0284778467483477
BTCB-USDT-500,-25,0.0013147890643268568,24,46658856.05326876,3.216421677787433e+23,3997,1.6092005778351257,8076.3618299781365,25560.478740885144,1.23359093796532
BTCB-USDT-500,-24,0.00023122371675882443,24,7687696.2296324335,3.054470259251066e+23,996,1.1179112560240154,419.7181868342677,3693.3497611609905,0.5173200581312652
BTCB-USDT-500,-23,0.0019646639608136116,24,54070251.09467038,2.5566344079002148e+23,4722,1.866860355129971,12681.891170434365,24353.10401200372,1.507951133595532
BTCB-USDT-500,-22,0.0038784174394482012,24,80102295.42398913,2.410253238366029e+23,6757,2.2031200059732394,23710.28175240003,52491.247017019195,2.118704574365057
BTCB-USDT-500,-21,0.001995861916592616,24,57048506.0419308,3.101957104979001e+23,5053,1.8443230309789431,9422.80220897584,34884.459116220445,1.5198767602758583
BTCB-USDT-500,-20,0.002428978261708302,24,80732449.88136846,3.202760410739139e+23,5573,1.9365100085720934,22902.65060417323,48924.74583496799,1.676698372556244
BTCB-USDT-500,-19,0.0013474727379333053,24,37931286.71117702,3.0499621816698625e+23,3987,1.5059147091097855,6004.760458981827,22420.125652999068,1.2488294231653687
BTCB-USDT-500,-18,0.0010529232712909377,24,27372431.520760607,2.7990529525147074e+23,3118,1.526106545891799,4379.784259184616,15676.362508482316,1.1039298861901377
BTCB-USDT-500,-17,0.0006025200375022122,24,20102559.610959955,2.901837768147096e+23,2293,1.4266014559675044,2498.174140590561,9479.315113126337,0.8350815256706673
BTCB-USDT-500,-16,0.0010113994222945265,24,27205721.237155125,2.8995330177684165e+23,2905,1.4882039833074512,4125.955420070701,15024.19428431737,1.081943243987991
BTCB-USDT-500,-15,0.0008551308786017133,24,25192755.893924616,2.9819016203408483e+23,2894,1.4263519119382375,3046.692479735416,13062.526302238724,0.9948541667985451
BTCB-USDT-500,-14,0.0005725774380484186,24,19302410.569005847,3.2641944808061486e+23,2249,1.2571263545973375,2209.7964957845656,10586.01726289477,0.8140671766577963
BTCB-USDT-500,-13,0.0006353100635253776,24,21972357.04557481,3.222174360582901e+23,2391,1.1933747662567453,2519.464402346746,12091.25970883747,0.8575036871785116
BTCB-USDT-500,-12,0.00035180646989954584,24,13271705.91908829,3.276865437332978e+23,1417,1.1164075819723978,1562.057905256791,6119.41648343884,0.6381092494515226
BTCB-USDT-500,-11,0.00010450825210093192,24,3988348.29794091,3.329318311340421e+23,590,0.9293587444596975,259.79475879850287,1852.3132341611372,0.3477910653205734
BTCB-USDT-500,-10,0.00011009476530064174,24,4752339.698603138,3.4079552391705434e+23,603,0.8727615547142061,439.5726387000085,2150.3630053719844,0.3569656802491561
BTCB-USDT-500,-9,0.00040234606985952836,24,12738785.809249453,3.30778872390466e+23,1422,1.2556920042190052,1635.9273866814501,6952.462737630675,0.6824062731223068
BTCB-USDT-500,-8,0.0006323281997293421,24,19748611.603025552,2.9904433533482794e+23,2154,1.4310275616518062,2260.1592061453102,10678.544901656913,0.8554889492444255
BTCB-USDT-500,-7,0.001106385345628712,24,27388360.032017928,2.7490981693547455e+23,2711,1.4787758113537801,7522.096020911521,16442.39349767307,1.1316088522443062
BTCB-USDT-500,-6,0.0007929469341487687,24,28540107.72303357,3.365562327226744e+23,2822,1.2209916156456726,4941.811420977704,15513.905429926015,0.9579992981546378
BTCB-USDT-500,-5,0.00047275604024124096,24,17672387.921079807,3.43537696336818e+23,1981,1.1557942550934233,1752.829787256352,9372.704693665817,0.7397103101024121
BTCB-USDT-500,-4,0.00046962665802432525,24,19973332.939797092,3.845334523147143e+23,2084,1.175868834229308,2081.535723108004,10973.215839906134,0.7372580095959212
BTCB-USDT-500,-3,0.00025082316353191805,24,9494579.728321072,3.935237873966848e+23,1110,1.021831899399249,886.9236095231714,5235.01850977796,0.5387992088164212
BTCB-USDT-500,-2,0.00025100872141895186,24,9876823.01924503,3.9122231670259954e+23,1247,0.9928784714074633,991.5660448704659,5435.380655326072,0.5389984726269244
BTCB-USDT-500,-1,0.00044323958194537823,24,20042656.95252628,3.971679755859457e+23,2098,1.0742372140979428,3397.1126696431597,10148.51095059277,0.7162463091700672
BTCB-USDT-500,0,0.00037454758746529866,24,21184810.22638589,4.1893070865637845e+23,1894,0.8791265216769485,8092.067154182226,8397.98988173647,0.6584103220324773
BTCB-USDT-500,1,0.0004214699084651886,24,17948920.9901246,4.4032026073620696e+23,2273,0.8369691845068693,1854.626450771513,9782.33918371514,0.698435676391843
BTCB-USDT-500,2,0.00037113901947983684,24,17645556.169775788,3.924805282182555e+23,2272,0.8422526984896411,1580.147687415947,9070.064059050177,0.6554075452143385
BTCB-USDT-500,3,0.0002805774903114802,24,12965755.194701996,4.055181750377861e+23,1630,0.7765643203733682,1000.500021553163,6482.262233889315,0.5698617952085289
BTCB-USDT-500,4,0.00014609399658105542,24,8393087.982495502,4.08008094790932e+23,974,0.7246986704636048,1319.8887156852768,3115.3498513692102,0.4112058776582188
BTCB-USDT-500,5,0.00026566486746342703,24,10314508.1742453,4.1048616056019876e+23,1429,0.6236705095990701,804.1847491899646,5510.01216004492,0.5545110327938279
