fork,pool,regime,n_cex,share_router,share_other,q10_all,q10_bots,q50_all,q50_bots,q10_nonbot,pk1_all,pk1_bots,strict_share_bot,strict_share_nonbot,size_bot,size_nonbot
Lorentz,WBNB-USDT-500,pre,7813,0.23704082938691923,0.009087418405222066,187.20000000000005,367.0,436.0,569.0,-112.0,0.8595929860488929,0.8585738539898132,0.26519524617996604,0.17628705148205928,5937.372098062846,100.0
Lorentz,WBNB-USDT-500,post,7647,0.3924414803190794,0.004576958284294495,45.0,239.0,195.0,286.0,-52.5,0.9010069308225448,0.9015397961396661,0.30448926480156147,0.22299077733860342,4880.89562740775,399.74944729272585
Lorentz,ETH-USDT-500,pre,20928,0.0424789755351682,0.012949159021406727,685.7000000000003,780.0,1384.0,1409.5,-17.0,0.5380829510703364,0.5309085390530149,0.43929583164710645,0.27586206896551724,1630.3077934014536,99.56860515752119
Lorentz,ETH-USDT-500,post,30926,0.028584362672185216,0.004720946776175386,445.0,473.0,733.0,734.0,34.0,0.5148742158701416,0.5122089911693872,0.3756020872357506,0.2854368932038835,1544.72060276626,118.57137369343363
Lorentz,BTCB-USDT-500,pre,30915,0.01255054180818373,0.0024907003072941938,449.0,460.9000000000001,754.0,753.0,-92.19999999999999,0.737506065016982,0.7401313628899836,0.5614449917898193,0.34838709677419355,6558.014690854156,509.0
Lorentz,BTCB-USDT-500,post,23139,0.02394226198193526,0.002420156445827391,363.0,368.0,599.0,590.0,190.0,0.5931111975452699,0.5996715344666874,0.35700652492343204,0.20491803278688525,5350.759574476447,24.957834857752943
Lorentz,WBNB-USDT-100,pre,5052,0.2842438638163104,0.0166270783847981,179.0,447.1,429.0,629.0,-107.0,0.869556611243072,0.8686296715741789,0.3615515288788222,0.16973684210526316,3633.9240416250495,58.910541846
Lorentz,WBNB-USDT-100,post,5572,0.24102656137832018,0.010588657573582197,64.0,145.0,214.0,243.0,-38.0,0.8928571428571429,0.9,0.38057553956834533,0.24322396576319544,2772.982848850326,243.48430000000002
Maxwell,WBNB-USDT-500,pre,9545,0.3273965426925092,0.011000523834468309,93.0,248.4000000000001,254.0,326.0,-30.199999999999932,0.8381351492928235,0.8492478226444973,0.2842438638163104,0.1804953560371517,3819.65545555342,207.25313268228876
Maxwell,WBNB-USDT-500,post,18311,0.20108131724100267,0.011686964119927912,149.0,198.0,263.0,266.0,26.5,0.6283108514007973,0.6414845646895595,0.3893860561914672,0.18429158110882957,2704.909283742961,100.0
Maxwell,ETH-USDT-500,pre,23367,0.01279582316942697,0.0029528822698677622,311.0,320.0,472.0,474.0,-64.0,0.6774511062609663,0.6772468368189921,0.40866994217139874,0.3179347826086957,1380.9787327473925,199.4
Maxwell,ETH-USDT-500,post,29238,0.011697106505232917,0.001573295027019632,238.0,241.0,344.0,345.0,21.10000000000001,0.5449757165332786,0.5447487001733102,0.4630155979202773,0.39948453608247425,1877.9346581083032,308.04550217962526
Maxwell,BTCB-USDT-500,pre,23357,0.013914458192404847,0.0026544504859356936,297.0,302.0,444.0,442.0,54.400000000000006,0.6926831356766708,0.6962559860687854,0.3771876360470178,0.3281653746770026,4832.9220016526815,356.3469775922
Maxwell,BTCB-USDT-500,post,25381,0.015405224380442064,0.0020093770931011385,219.0,223.0,310.0,310.0,50.30000000000001,0.580000787991017,0.583102770760656,0.5098841172460804,0.3506787330316742,4098.332804176567,366.34861619882906
Maxwell,WBNB-USDT-100,pre,2889,0.23087573554863275,0.034614053305642094,52.80000000000001,110.10000000000002,93.0,173.0,-38.39999999999999,0.9764624437521634,0.9802073515551367,0.3114985862393968,0.14732724902216426,3982.724873250834,233.12068771656746
Maxwell,WBNB-USDT-100,post,4912,0.2288273615635179,0.02035830618892508,33.10000000000002,75.0,97.0,124.0,-18.0,0.9092019543973942,0.9126898047722343,0.4601409978308026,0.16666666666666666,4225.6476937906045,117.64864172865296
Fermi,WBNB-USDT-500,pre,16806,0.09698917053433298,0.006426276329882185,124.0,129.0,211.0,186.0,91.10000000000005,0.6886231107937641,0.7223918237324131,0.5603928855853464,0.3457997698504028,813.710173740132,187.45346285819647
Fermi,WBNB-USDT-500,post,36684,0.08772216770254061,0.004198015483589576,128.0,134.0,213.0,205.0,76.10000000000002,0.5272053211209247,0.5450888568683958,0.5505823727185398,0.3398576512455516,401.59012818341023,163.04916309942465
Fermi,ETH-USDT-500,pre,15555,0.012471873995499838,0.0021215043394406945,208.0,209.0,279.0,278.0,82.40000000000003,0.6120861459337833,0.6147573068893528,0.38765657620041755,0.3788546255506608,997.9287120916299,119.83959999999999
Fermi,ETH-USDT-500,post,33785,0.012786739677371615,0.0026639040994524197,158.0,161.0,236.0,236.0,33.0,0.4861624981500666,0.48531401256651535,0.3923578751164958,0.3390804597701149,406.6618141749667,70.99692861984042
Fermi,BTCB-USDT-500,pre,11292,0.010804109103790293,0.001771165426850868,133.0,135.0,191.0,191.0,41.099999999999994,0.725557917109458,0.7279820627802691,0.3351569506726457,0.21830985915492956,3484.8649588950802,141.4711240436627
Fermi,BTCB-USDT-500,post,26638,0.01644267587656731,0.002102259929424131,109.0,112.0,161.0,161.0,15.600000000000009,0.6271491853742773,0.6285189718482252,0.2858782129742962,0.2408906882591093,2500.4742256920717,271.0335045741268
Fermi,WBNB-USDT-100,pre,7621,0.058522503608450335,0.0072169006692035164,27.0,39.0,50.0,60.0,-32.0,0.9526308883348642,0.9563202247191012,0.5363764044943821,0.1437125748502994,7098.974464975327,157.16056333963172
