pool,dayrel,rv,hours,volume,liq,n_arb,over,profit,loss,sigma_bps
BTCB-USDT-500,-31,1.407153502055016e-05,1,488490.1900610734,3.9589803333868644e+23,70,0.45246890077202523,8.57267283137125,150.23001026455023,0.6252007459952842
BTCB-USDT-500,-30,0.0008668627154497544,24,40694579.37137711,3.987882077353514e+23,6307,0.4452507053015886,8447.862465676175,17077.0110271087,1.0016552940342527
BTCB-USDT-500,-29,0.0008635355183805102,24,35050025.42724808,3.724265293663931e+23,6211,0.45181773255676405,6020.490731721531,17205.595152322763,0.9997311666308087
BTCB-USDT-500,-28,0.0011746096009645891,24,45935197.945770465,3.837698197448728e+23,7493,0.5041403923828657,4957.222007655725,25131.903450667483,1.1659767806299892
BTCB-USDT-500,-27,0.0011919738245437408,24,56440861.30065901,3.941919193679755e+23,8256,0.5681367277121716,7486.712927735787,28737.400348858366,1.1745634652766375
BTCB-USDT-500,-26,0.001059717530151813,24,37954823.04040591,3.7468701731148793e+23,6210,0.5622077126025135,3991.3738978689075,20445.538590122465,1.107485855059644
BTCB-USDT-500,-25,0.00010393840926859733,24,4924089.00101723,3.7437999511083656e+23,640,0.516808152686599,294.9927124614222,2065.5541794075184,0.3468415845910309
BTCB-USDT-500,-24,0.0004246836301977666,24,18336874.34934576,3.699370817324127e+23,2719,0.49268110200222676,2774.0223259796826,8834.537156620492,0.7010934170248379
BTCB-USDT-500,-23,0.0006238861852710988,24,27872518.992862895,3.975427018920767e+23,4086,0.5023008792941513,1825.6354895309025,13919.43497245696,0.8497590789229145
BTCB-USDT-500,-22,0.0006698074466907007,24,29834051.611992933,3.8742217263313844e+23,4066,0.6024826160239467,35427.577651439635,11746.770970933636,0.880477200350162
BTCB-USDT-500,-21,0.00034894210549168937,24,13391212.285399897,3.7021588907714155e+23,2087,0.47805512969662556,1730.2833697880687,6062.942611569339,0.6355062373041026
BTCB-USDT-500,-20,0.00033954647996896613,24,12778582.528285604,3.816574527373892e+23,1750,0.4900219662116771,1361.330886457189,6807.672270726862,0.6268920250531125
BTCB-USDT-500,-19,0.0003689068313034243,24,17122434.268744815,3.7484892820261984e+23,2471,0.534424070663308,1498.2135033224122,7659.678297613234,0.6534336226379679
BTCB-USDT-500,-18,6.432920154816635e-05,24,4174957.4522870993,4.056739480176603e+23,448,0.3683173930331786,527.1303647941985,1314.082151664987,0.27286460815659436
BTCB-USDT-500,-17,0.00019158778915085264,24,8489714.102782851,3.818545307258537e+23,1154,0.4325990010050919,803.1051342358527,3942.682364002665,0.4708982122837221
BTCB-USDT-500,-16,0.0005025080406271157,24,25656511.28114635,3.838591765943793e+23,3221,0.5620491218208005,3907.355898419006,10029.756905048782,0.7626313188583369
BTCB-USDT-500,-15,0.0003587421299469665,24,20834848.51305391,4.7830757443197464e+23,2536,0.44678320617338585,1272.2817769793148,10138.652596106951,0.6443685269701879
BTCB-USDT-500,-14,0.00022783245875056482,24,12283840.63513991,4.800187239331553e+23,1567,0.404665442085389,695.5504564576836,5406.424588803064,0.5135123907032295
BTCB-USDT-500,-13,0.00011579744540260541,24,7835959.651195217,4.832553448266994e+23,802,0.4783901381651536,266.84332843482736,2973.3629707759146,0.3660940057797045
BTCB-USDT-500,-12,0.0006147003685738577,24,28303566.89977455,5.0055099450842675e+23,3654,0.411092143235368,2109.5594881340985,14834.775513894054,0.8434801479130652
BTCB-USDT-500,-11,0.00018039902377835825,24,10042688.41081496,4.599202747714192e+23,1273,0.34885389790786586,650.2460929837721,4310.076058017001,0.4569410973092012
BTCB-USDT-500,-10,0.00028878981906478335,24,10998144.321674364,3.4315777738602906e+23,1896,0.36642747035711903,671.4175937994563,5301.003147705329,0.5781413977301965
BTCB-USDT-500,-9,0.00044321880126123504,24,19965983.195651013,3.5750996392021356e+23,2913,0.46145329316615585,1127.9639347123807,8967.842753102244,0.716229518856899
BTCB-USDT-500,-8,0.0006312859074925467,24,49176084.63183937,8.379897273541841e+23,4806,0.36043791738867026,3722.1190313815528,25114.778310351147,0.8547835898774502
BTCB-USDT-500,-7,0.0004619511277278054,24,37242074.84125015,8.606029208923861e+23,3894,0.35988455795471624,3081.01867896272,18770.631419770827,0.7312083540909303
BTCB-USDT-500,-6,0.0005393318980022678,24,20448709.048426617,3.436073356537516e+23,3719,0.4931291987850283,2580.487867667678,9625.217394615014,0.7900802071934981
BTCB-USDT-500,-5,0.0005198789881409224,24,22212643.904332526,3.838933179735874e+23,3323,0.46937668259768334,2860.8896785913576,10241.73916035188,0.7757008391317952
BTCB-USDT-500,-4,3.301745994926183e-05,24,3601927.193694323,7.996955017653296e+23,341,0.2933893279570274,96.78676045388754,1269.3561431585495,0.1954856841793103
BTCB-USDT-500,-3,0.0002010040893530087,24,17536344.522150904,8.144626120193005e+23,1941,0.27523198124033993,1445.6427024069758,9312.431541183842,0.4823314440676169
BTCB-USDT-500,-2,0.0004400303452874105,24,23926328.87722886,4.524868791907486e+23,3364,0.42547883445995266,3090.389755448673,10741.026342830623,0.7136486398219282
BTCB-USDT-500,-1,0.0008620441275789335,24,45699393.63327776,6.882045677659991e+23,4520,0.44028762427496937,5980.244340743943,24635.407042368115,0.9988674880943487
BTCB-USDT-500,0,0.0005805092613376109,24,32204347.727877118,4.3454356570411374e+23,4673,0.4309158905597297,2511.28805695652,14908.809518518276,0.8196863541262313
BTCB-USDT-500,1,0.0004910911322543036,24,28140322.200641125,4.874777397108254e+23,3663,0.34730852374107896,1824.3751581317504,13272.315796830802,0.7539181084064911
BTCB-USDT-500,2,0.0002861903407778977,24,15818350.911975412,4.694016099171589e+23,2004,0.34079764294068543,1615.1746053393163,6662.918624339484,0.5755335093153039
BTCB-USDT-500,3,5.603391032073474e-05,24,4833334.590298001,4.6866006511012235e+23,479,0.32095913211818666,1221.4780690818,1619.098087877999,0.25466460859573864
